features	cell_health_modz_target_cc_all_n_objects	cell_health_modz_target_cc_g1_high_h2ax	cell_health_modz_target_vb_num_live_cells	cell_health_modz_target_cc_all_high_h2ax	cell_health_modz_target_cc_g1_n_objects	cell_health_modz_target_cc_g1_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_late_mitosis_n_spots_h2ax_mean	cell_health_modz_target_cc_cc_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_cc_g1	cell_health_modz_target_cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_polyploid_n_objects	cell_health_modz_target_vb_infection_percentage	cell_health_modz_target_cc_polyploid_high_h2ax	cell_health_modz_target_vb_live_cell_roundness	cell_health_modz_target_vb_percent_early_apoptosis	cell_health_modz_target_cc_late_mitosis_high_h2ax	cell_health_modz_target_cc_all_large_notround_polynuclear_mean	cell_health_modz_target_vb_percent_dead	cell_health_modz_target_cc_late_mitosis_n_objects	cell_health_modz_target_cc_g2_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_mitosis_n_objects	cell_health_modz_target_cc_cc_n_spots_h2ax_mean	cell_health_modz_target_cc_polynuclear_n_spots_h2ax_mean	cell_health_modz_target_cc_all_n_spots_h2ax_mean	cell_health_modz_target_cc_g2_n_spots_h2ax_mean	cell_health_modz_target_cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_mitosis_high_h2ax	cell_health_modz_target_cc_cc_high_h2ax	cell_health_modz_target_cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_percent_dead_only	cell_health_modz_target_cc_cc_g2	cell_health_modz_target_cc_cc_n_objects	cell_health_modz_target_cc_s_n_objects	cell_health_modz_target_cc_polyploid_n_spots_h2ax_mean	cell_health_modz_target_cc_g2_high_h2ax	cell_health_modz_target_cc_g2_plus_all_m_count	cell_health_modz_target_vb_percent_all_apoptosis	cell_health_modz_target_cc_g2_n_objects	cell_health_modz_target_cc_all_large_round_polyploid_mean	cell_health_modz_target_cc_s_high_h2ax	cell_health_modz_target_cc_s_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_ros_back_mean	cell_health_modz_target_vb_live_cell_area	cell_health_modz_target_cc_infection_percentage	cell_health_modz_target_cc_all_nucleus_area_mean	cell_health_modz_target_cc_g2_g1_count	cell_health_modz_target_vb_percent_late_apoptosis	cell_health_modz_target_cc_all_nucleus_roundness_mean	cell_health_modz_target_vb_live_cell_width_length	cell_health_modz_target_cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_percent_live	cell_health_modz_target_cc_mitosis_n_spots_h2ax_mean	cell_health_modz_target_cc_g1_plus_g2_count	cell_health_modz_target_cc_cc_late_mitosis	cell_health_modz_target_vb_percent_caspase_dead_only	cell_health_modz_target_cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_ros_mean	cell_health_modz_target_cc_cc_s	cell_health_modz_target_cc_s_n_spots_h2ax_mean	cell_health_modz_target_cc_cc_early_mitosis	cell_health_modz_target_cc_all_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_s_intensity_nucleus_area_sum	cell_health_modz_target_cc_early_mitosis_n_spots_h2ax_mean	cell_health_modz_target_cc_g1_n_spots_h2ax_mean	cell_health_modz_target_cc_cc_mitosis	cell_health_modz_target_cc_polynuclear_n_objects	cell_health_modz_target_cc_polynuclear_high_h2ax	cell_health_modz_target_cc_s_intensity_nucleus_area_mean	cell_health_modz_target_cc_early_mitosis_n_objects	cell_health_modz_target_cc_early_mitosis_high_h2ax
Cells_AreaShape_Zernike_4_0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.02071901329084434	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0
Cells_AreaShape_Zernike_4_2	-0.0	-0.0	-0.0	-0.0	0.0	0.005751213522543916	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.00010941730026978873	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.017458814803953043	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0
Cells_AreaShape_Zernike_5_1	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.015591588990346522	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.02491263381411901	0.007519222454160388	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.009911187960567077	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0
Cells_AreaShape_Zernike_5_3	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.04437311400259553	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.02559611924756139	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_5_5	0.0	-0.0	0.0	-0.026735309835267743	0.0	-0.0	-0.0	-0.0	-0.02307281280251018	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.006775463568986442	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.031248183507910584	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
Cells_AreaShape_Zernike_6_0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.04253598546563959	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0014729792172047923	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.01367241051938322	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0012108182606248967	0.0	0.0	-0.0	-0.0	0.0	-0.0
Cells_AreaShape_Zernike_6_2	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.019237578921839842	0.0	-0.0	-0.0	0.0	0.0	0.0015944310778684434	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.009060094530564363	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.028453594239224875	0.0	-0.0	0.013261794987803392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0
Cells_AreaShape_Zernike_6_4	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0001543030312951439	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.012110275376809462	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0
Cells_AreaShape_Zernike_7_1	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.018933599588887004	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0023568224539837817	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.00016344228433173204	0.0	0.0	-0.012163266552571819	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0
Cells_AreaShape_Zernike_7_3	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.017084593748011433	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.005332117213414578	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.007024543048960942	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_7_7	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.01986010780818811	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.006280327069494614	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0
Cells_AreaShape_Zernike_8_0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.017552443802441014	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.023002786435784427	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0011765426896552986	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_8_2	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.023137788634396857	-0.0	-0.0	-0.0	0.0	0.0	-0.0006386213106225535	-0.007433523578896182	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0
Cells_AreaShape_Zernike_8_4	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.020081495506730326	-0.0	-0.0	-0.0	-0.012163402438018037	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
Cells_AreaShape_Zernike_8_6	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0
Cells_AreaShape_Zernike_8_8	-0.0	-0.0	0.0	-0.0	0.0	-0.00031828526412128167	-0.0	-0.0	0.00960900752300504	-0.0	-0.0	0.0	-0.0	0.01849749941001672	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.01513915465101765	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.016574672779363402	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0
Cells_AreaShape_Zernike_9_1	0.0	0.0	0.0	-0.0	-0.0	-0.010029094007763632	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0
Cells_AreaShape_Zernike_9_3	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.021355021830709867	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.014677631313238099	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0073622850728200274	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0
Cells_AreaShape_Zernike_9_5	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.00032511832613499043	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.012835465591380343	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.004282046132587109	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0
