features	cell_health_modz_target_cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_all_nucleus_roundness_mean	cell_health_modz_target_cc_polyploid_n_objects	cell_health_modz_target_cc_g1_n_objects	cell_health_modz_target_cc_mitosis_n_objects	cell_health_modz_target_vb_num_live_cells	cell_health_modz_target_vb_percent_live	cell_health_modz_target_vb_live_cell_roundness	cell_health_modz_target_cc_all_large_notround_polynuclear_mean	cell_health_modz_target_cc_all_high_h2ax	cell_health_modz_target_cc_early_mitosis_high_h2ax	cell_health_modz_target_cc_g2_n_spots_h2ax_mean	cell_health_modz_target_cc_g2_plus_all_m_count	cell_health_modz_target_cc_early_mitosis_n_objects	cell_health_modz_target_cc_all_nucleus_area_mean	cell_health_modz_target_cc_g1_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_live_cell_area	cell_health_modz_target_cc_polyploid_n_spots_h2ax_mean	cell_health_modz_target_cc_all_n_objects	cell_health_modz_target_cc_cc_g2	cell_health_modz_target_vb_ros_back_mean	cell_health_modz_target_vb_ros_mean	cell_health_modz_target_cc_infection_percentage	cell_health_modz_target_cc_early_mitosis_n_spots_h2ax_mean	cell_health_modz_target_vb_percent_early_apoptosis	cell_health_modz_target_cc_mitosis_high_h2ax	cell_health_modz_target_cc_polynuclear_n_spots_h2ax_mean	cell_health_modz_target_cc_polyploid_high_h2ax	cell_health_modz_target_cc_cc_late_mitosis	cell_health_modz_target_vb_percent_all_apoptosis	cell_health_modz_target_cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_g1_high_h2ax	cell_health_modz_target_cc_cc_mitosis	cell_health_modz_target_cc_all_n_spots_h2ax_mean	cell_health_modz_target_vb_infection_percentage	cell_health_modz_target_cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_s_n_spots_h2ax_mean	cell_health_modz_target_cc_all_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_percent_late_apoptosis	cell_health_modz_target_cc_mitosis_n_spots_h2ax_mean	cell_health_modz_target_cc_g1_n_spots_h2ax_mean	cell_health_modz_target_cc_all_large_round_polyploid_mean	cell_health_modz_target_cc_cc_g1	cell_health_modz_target_cc_s_intensity_nucleus_area_sum	cell_health_modz_target_cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_s_n_objects	cell_health_modz_target_cc_g2_n_objects	cell_health_modz_target_cc_cc_n_objects	cell_health_modz_target_cc_late_mitosis_n_objects	cell_health_modz_target_cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_g2_g1_count	cell_health_modz_target_vb_percent_caspase_dead_only	cell_health_modz_target_cc_polynuclear_n_objects	cell_health_modz_target_cc_cc_early_mitosis	cell_health_modz_target_cc_polynuclear_high_h2ax	cell_health_modz_target_cc_g2_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_cc_n_spots_h2ax_mean	cell_health_modz_target_vb_percent_dead	cell_health_modz_target_cc_cc_s	cell_health_modz_target_cc_late_mitosis_high_h2ax	cell_health_modz_target_cc_s_intensity_nucleus_area_mean	cell_health_modz_target_cc_g2_high_h2ax	cell_health_modz_target_cc_late_mitosis_n_spots_h2ax_mean	cell_health_modz_target_cc_cc_high_h2ax	cell_health_modz_target_vb_percent_dead_only	cell_health_modz_target_cc_s_high_h2ax	cell_health_modz_target_cc_cc_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_s_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_g1_plus_g2_count	cell_health_modz_target_vb_live_cell_width_length
Cells_AreaShape_Zernike_6_0	-0.0	4.8459104133152396e-05	0.0	-0.0	-0.009566664358962597	0.0	0.0	0.0	-0.0	0.0	-0.0003947954567358541	0.002769172483156575	0.0	-0.024751463466180575	0.0	0.0	-0.0	-0.0	-0.0	0.0016457043986001546	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.007859612786566146	0.040690705590790334	-0.047082262087870794	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.008433507922671208	0.0	0.0	0.0	0.0	-0.0	0.023677029681436472	0.0	-0.007957157457863993	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_6_2	-0.0	-0.01552707612782524	-0.0	0.0	0.0	0.01115951878382914	0.010837812555206737	-0.0	0.0	-0.0	-0.0	-0.03335648040717002	0.0	-0.0	0.0	-0.010445897905280131	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0283457974595799	0.0	-0.0	-0.058395933151360074	-0.052681421725753325	-0.00849631738447898	-0.0	-0.03907676637826056	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.05485652693586776	-0.0029616719182078578	-0.010887919221547592	0.0	-0.0	-0.033519747520641296	-0.0	-0.0	-0.0	-0.0	-0.0397338129025407	-0.02517471560424148	-0.06874664699702787	-0.0	0.0
Cells_AreaShape_Zernike_6_4	0.0	0.007190131017197719	0.0216895946737037	0.0	0.0	0.0	0.0	-0.015349673124690785	0.018403750480026997	0.0	-0.0	-0.0	-0.0	0.0013080653179912808	0.10447129648044517	-0.027992448128982564	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.004416186506828062	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.02622128342353654	-0.0	0.0	-0.0	0.0	0.0	0.0	0.029186766293880426	-0.0	0.0	0.0	0.03563455679536245	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.022686476182920773
Cells_AreaShape_Zernike_7_1	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.02265272886535784	-0.06099261793009602	-0.0	-0.0	0.0	-0.0	0.0134792697405733	-0.0	0.051850797708463	-0.0	0.0	-0.0	0.0	0.07740072790249784	-0.08618449229855318	-0.08197309672685085	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.027843667198452344	-0.0	0.0	-0.0	-0.017346902980253775	0.0	0.0	-0.0	-0.04946999721389513	-0.05590792493995821	0.0	-0.007434455362282489	-0.0	-0.020625739696650214	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.022993418958196968	9.065784074303924e-05	-0.0	-0.06203832586859873	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.05952054193271451
Cells_AreaShape_Zernike_7_3	0.0	-0.006014053250293329	-0.0158297792672076	-0.0	0.0	-0.008385355421019385	0.0005511774099785783	-0.0	-0.0	-0.0	-0.0	-0.050149889774779355	-0.0	-0.0	-0.0	-0.0	0.0076112822356208054	-0.0	-0.0	-0.0	0.05932444818818139	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.034426008587442644	-0.0021709315039967984	-0.0	-0.0	0.0	-0.01824455754772811	0.0	0.0	-0.006993794358334262	-0.005841304466208479	-0.018019542970868604	0.0	-0.0	-0.025241448477648618	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.030837118898778125	-0.0	-0.0	-0.0	-0.01086834791781923	0.0	0.0	-0.03598061732235053	-0.0	-0.00035926841874486066	0.0	0.0	0.02864535821696324	-0.016432702003377188	0.0	-0.0	0.0	-0.02045654644135475	-0.0	-0.0	-0.0	0.0
Cells_AreaShape_Zernike_7_7	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.010326806486245788	0.0	-0.0	-0.0	-0.006384232402518283	-0.0	-0.0	-0.0	0.0	-0.0	0.005701144129644691	-0.0	0.006883146217365571	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0036560932951289244	-0.0	-0.0074765484646104104	-0.0	-0.0	-0.00032932375821544737	0.0012481448697225666
Cells_AreaShape_Zernike_8_0	-0.0	0.05674696102083375	0.0	-0.01988658168395614	-0.0	-0.03948526409291221	-0.0	-0.04286849364844041	0.0	-0.0	0.0	-0.0	0.056635186552050513	0.0	0.009979235479005285	-0.0	0.019656085367328314	0.0	-0.0	0.026971286003652284	0.05406377381252816	0.033814306983237175	-0.008079596916473857	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.008079596916473857	-0.0	-0.0	-0.0	-0.0	-0.0	-0.025279271325070102	0.07420256976596126	-0.0637882134820782	-0.0	0.0029732777984797223	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.014301910500692041	-0.0	0.012307867270499994	0.0	-0.0	-0.0	0.004171741117125901	-0.0	-0.0	-0.0	-0.010136858109057666	-0.030527325898539022
Cells_AreaShape_Zernike_8_2	0.0	-0.005942354819478058	0.0	-0.011403307013387378	-0.0	-0.028601480289590437	0.0	-0.0	0.0	0.0	0.0408696878117059	0.014014810662469577	-0.0	-0.020277928472541284	0.014368329036604153	0.0	-0.0	0.0	-0.012780903660238988	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0003661011147983492	0.0	-0.0	0.02367291081289756	0.0	0.0	0.0	0.014957996992201355	-0.0	0.0	0.04853004393234316	0.011223237715079762	0.0	-0.016569852783609562	0.0	-0.010340446695414233	-0.0	-0.01989580273287459	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0014058428734751403	-0.0	-0.0	0.0	-0.03762096523210517	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0
Cells_AreaShape_Zernike_8_4	-0.003978543301615893	0.020165671080960568	-0.0	0.009644634315857313	0.0	0.0	0.0	-0.0	-0.036365120822996436	-0.0	-0.09782444480766594	-0.03869523446276624	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0006248643296338504	-0.0	0.0	-0.0	-0.0	-0.015940723485254712	-0.0	0.0	-0.0	-0.06134415208761246	0.054106896886553874	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.04392016895947886	-0.0	-0.0	-0.007608484407502048	0.0	-0.0	-0.008028200568488684	-0.0	-0.0	-0.0	-0.0	-0.0012782333993593587	-0.01884828206898903	0.06532222843051004	-0.0
Cells_AreaShape_Zernike_8_6	-0.0	0.05899368151931625	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.03134679666485223	0.02957058791991233	-0.0	-0.0	0.0	-0.015552282802769926	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.018020815895154602	0.009463062621485134	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.013464741353698585	-0.0	0.0	-0.0
