Metadata_gene_name	Metadata_pert_name	Metadata_cell_line	n_measurements_paint	data_type_paint	Metadata_Well	Metadata_Plate	guide	cell_id	n_measurements_health	data_type_health
BRAF1	BRAF1-1	A549	6	cell_painting	A07	SQ00014612	BRAF1-1	A549	4	cell_health
BRAF1	BRAF1-1	A549	6	cell_painting	O18	SQ00014612	BRAF1-1	A549	4	cell_health
BRCA1	BRCA1-1	A549	6	cell_painting	E20	SQ00014611	BRCA1-1	A549	4	cell_health
BRCA1	BRCA1-1	A549	6	cell_painting	K05	SQ00014611	BRCA1-1	A549	4	cell_health
BRCA1	BRCA1-1	A549	6	cell_painting	E20	SQ00014610	BRCA1-1	A549	4	cell_health
BRCA1	BRCA1-1	A549	6	cell_painting	K05	SQ00014610	BRCA1-1	A549	4	cell_health
BRCA1	BRCA1-1	A549	6	cell_painting	E20	SQ00014612	BRCA1-1	A549	4	cell_health
BRCA1	BRCA1-1	A549	6	cell_painting	K05	SQ00014612	BRCA1-1	A549	4	cell_health
BRCA1	BRCA1-2	A549	6	cell_painting	E18	SQ00014611	BRCA1-2	A549	4	cell_health
BRCA1	BRCA1-2	A549	6	cell_painting	K07	SQ00014611	BRCA1-2	A549	4	cell_health
BRCA1	BRCA1-2	A549	6	cell_painting	E18	SQ00014610	BRCA1-2	A549	4	cell_health
BRCA1	BRCA1-2	A549	6	cell_painting	K07	SQ00014610	BRCA1-2	A549	4	cell_health
BRCA1	BRCA1-2	A549	6	cell_painting	E18	SQ00014612	BRCA1-2	A549	4	cell_health
BRCA1	BRCA1-2	A549	6	cell_painting	K07	SQ00014612	BRCA1-2	A549	4	cell_health
BRD4	BRD4-1	A549	6	cell_painting	A11	SQ00014611	BRD4-1	A549	4	cell_health
BRD4	BRD4-1	A549	6	cell_painting	O14	SQ00014611	BRD4-1	A549	4	cell_health
BRD4	BRD4-1	A549	6	cell_painting	A11	SQ00014610	BRD4-1	A549	4	cell_health
BRD4	BRD4-1	A549	6	cell_painting	O14	SQ00014610	BRD4-1	A549	4	cell_health
BRD4	BRD4-1	A549	6	cell_painting	A11	SQ00014612	BRD4-1	A549	4	cell_health
BRD4	BRD4-1	A549	6	cell_painting	O14	SQ00014612	BRD4-1	A549	4	cell_health
BRD4	BRD4-2	A549	6	cell_painting	A13	SQ00014611	BRD4-2	A549	4	cell_health
BRD4	BRD4-2	A549	6	cell_painting	O12	SQ00014611	BRD4-2	A549	4	cell_health
BRD4	BRD4-2	A549	6	cell_painting	A13	SQ00014610	BRD4-2	A549	4	cell_health
BRD4	BRD4-2	A549	6	cell_painting	O12	SQ00014610	BRD4-2	A549	4	cell_health
BRD4	BRD4-2	A549	6	cell_painting	A13	SQ00014612	BRD4-2	A549	4	cell_health
BRD4	BRD4-2	A549	6	cell_painting	O12	SQ00014612	BRD4-2	A549	4	cell_health
CCND1	CCND1-1	A549	6	cell_painting	E16	SQ00014611	CCND1-1	A549	4	cell_health
CCND1	CCND1-1	A549	6	cell_painting	K09	SQ00014611	CCND1-1	A549	4	cell_health
CCND1	CCND1-1	A549	6	cell_painting	E16	SQ00014610	CCND1-1	A549	4	cell_health
CCND1	CCND1-1	A549	6	cell_painting	K09	SQ00014610	CCND1-1	A549	4	cell_health
CCND1	CCND1-1	A549	6	cell_painting	E16	SQ00014612	CCND1-1	A549	4	cell_health
CCND1	CCND1-1	A549	6	cell_painting	K09	SQ00014612	CCND1-1	A549	4	cell_health
CCND1	CCND1-2	A549	6	cell_painting	E14	SQ00014611	CCND1-2	A549	4	cell_health
CCND1	CCND1-2	A549	6	cell_painting	K11	SQ00014611	CCND1-2	A549	4	cell_health
CCND1	CCND1-2	A549	6	cell_painting	E14	SQ00014610	CCND1-2	A549	4	cell_health
CCND1	CCND1-2	A549	6	cell_painting	K11	SQ00014610	CCND1-2	A549	4	cell_health
CCND1	CCND1-2	A549	6	cell_painting	E14	SQ00014612	CCND1-2	A549	4	cell_health
CCND1	CCND1-2	A549	6	cell_painting	K11	SQ00014612	CCND1-2	A549	4	cell_health
CCNE1	CCNE1-1	A549	6	cell_painting	E12	SQ00014611	CCNE1-1	A549	4	cell_health
CCNE1	CCNE1-1	A549	6	cell_painting	K13	SQ00014611	CCNE1-1	A549	4	cell_health
CCNE1	CCNE1-1	A549	6	cell_painting	E12	SQ00014610	CCNE1-1	A549	4	cell_health
CCNE1	CCNE1-1	A549	6	cell_painting	K13	SQ00014610	CCNE1-1	A549	4	cell_health
CCNE1	CCNE1-1	A549	6	cell_painting	E12	SQ00014612	CCNE1-1	A549	4	cell_health
CCNE1	CCNE1-1	A549	6	cell_painting	K13	SQ00014612	CCNE1-1	A549	4	cell_health
CCNE1	CCNE1-2	A549	6	cell_painting	E10	SQ00014611	CCNE1-2	A549	4	cell_health
CCNE1	CCNE1-2	A549	6	cell_painting	K15	SQ00014611	CCNE1-2	A549	4	cell_health
CCNE1	CCNE1-2	A549	6	cell_painting	E10	SQ00014610	CCNE1-2	A549	4	cell_health
CCNE1	CCNE1-2	A549	6	cell_painting	K15	SQ00014610	CCNE1-2	A549	4	cell_health
CCNE1	CCNE1-2	A549	6	cell_painting	E10	SQ00014612	CCNE1-2	A549	4	cell_health
CCNE1	CCNE1-2	A549	6	cell_painting	K15	SQ00014612	CCNE1-2	A549	4	cell_health
CDK2	CDK2-1	A549	6	cell_painting	E08	SQ00014611	CDK2-1	A549	4	cell_health
CDK2	CDK2-1	A549	6	cell_painting	K17	SQ00014611	CDK2-1	A549	4	cell_health
CDK2	CDK2-1	A549	6	cell_painting	E08	SQ00014610	CDK2-1	A549	4	cell_health
CDK2	CDK2-1	A549	6	cell_painting	K17	SQ00014610	CDK2-1	A549	4	cell_health
CDK2	CDK2-1	A549	6	cell_painting	E08	SQ00014612	CDK2-1	A549	4	cell_health
CDK2	CDK2-1	A549	6	cell_painting	K17	SQ00014612	CDK2-1	A549	4	cell_health
CDK2	CDK2-2	A549	6	cell_painting	E06	SQ00014611	CDK2-2	A549	4	cell_health
CDK2	CDK2-2	A549	6	cell_painting	K19	SQ00014611	CDK2-2	A549	4	cell_health
CDK2	CDK2-2	A549	6	cell_painting	E06	SQ00014610	CDK2-2	A549	4	cell_health
CDK2	CDK2-2	A549	6	cell_painting	K19	SQ00014610	CDK2-2	A549	4	cell_health
CDK2	CDK2-2	A549	6	cell_painting	E06	SQ00014612	CDK2-2	A549	4	cell_health
CDK2	CDK2-2	A549	6	cell_painting	K19	SQ00014612	CDK2-2	A549	4	cell_health
CDK4	CDK4-1	A549	6	cell_painting	A15	SQ00014611	CDK4-1	A549	4	cell_health
CDK4	CDK4-1	A549	6	cell_painting	O10	SQ00014611	CDK4-1	A549	4	cell_health
CDK4	CDK4-1	A549	6	cell_painting	A15	SQ00014610	CDK4-1	A549	4	cell_health
CDK4	CDK4-1	A549	6	cell_painting	O10	SQ00014610	CDK4-1	A549	4	cell_health
CDK4	CDK4-1	A549	6	cell_painting	A15	SQ00014612	CDK4-1	A549	4	cell_health
CDK4	CDK4-1	A549	6	cell_painting	O10	SQ00014612	CDK4-1	A549	4	cell_health
CDK4	CDK4-2	A549	6	cell_painting	A17	SQ00014611	CDK4-2	A549	4	cell_health
CDK4	CDK4-2	A549	6	cell_painting	O08	SQ00014611	CDK4-2	A549	4	cell_health
CDK4	CDK4-2	A549	6	cell_painting	A17	SQ00014610	CDK4-2	A549	4	cell_health
CDK4	CDK4-2	A549	6	cell_painting	O08	SQ00014610	CDK4-2	A549	4	cell_health
CDK4	CDK4-2	A549	6	cell_painting	A17	SQ00014612	CDK4-2	A549	4	cell_health
CDK4	CDK4-2	A549	6	cell_painting	O08	SQ00014612	CDK4-2	A549	4	cell_health
CDK4	CDK4-3	A549	6	cell_painting	G08	SQ00014611	CDK4-3	A549	4	cell_health
CDK4	CDK4-3	A549	6	cell_painting	I17	SQ00014611	CDK4-3	A549	4	cell_health
CDK4	CDK4-3	A549	6	cell_painting	G08	SQ00014610	CDK4-3	A549	4	cell_health
CDK4	CDK4-3	A549	6	cell_painting	I17	SQ00014610	CDK4-3	A549	4	cell_health
CDK4	CDK4-3	A549	6	cell_painting	G08	SQ00014612	CDK4-3	A549	4	cell_health
CDK4	CDK4-3	A549	6	cell_painting	I17	SQ00014612	CDK4-3	A549	4	cell_health
CHEK2	CHEK2-1	A549	6	cell_painting	A19	SQ00014611	CHEK2-1	A549	4	cell_health
CHEK2	CHEK2-1	A549	6	cell_painting	O06	SQ00014611	CHEK2-1	A549	4	cell_health
CHEK2	CHEK2-1	A549	6	cell_painting	A19	SQ00014610	CHEK2-1	A549	4	cell_health
CHEK2	CHEK2-1	A549	6	cell_painting	O06	SQ00014610	CHEK2-1	A549	4	cell_health
CHEK2	CHEK2-1	A549	6	cell_painting	A19	SQ00014612	CHEK2-1	A549	4	cell_health
CHEK2	CHEK2-1	A549	6	cell_painting	O06	SQ00014612	CHEK2-1	A549	4	cell_health
CHEK2	CHEK2-2	A549	6	cell_painting	A21	SQ00014611	CHEK2-2	A549	4	cell_health
CHEK2	CHEK2-2	A549	6	cell_painting	O04	SQ00014611	CHEK2-2	A549	4	cell_health
CHEK2	CHEK2-2	A549	6	cell_painting	A21	SQ00014610	CHEK2-2	A549	4	cell_health
CHEK2	CHEK2-2	A549	6	cell_painting	O04	SQ00014610	CHEK2-2	A549	4	cell_health
CHEK2	CHEK2-2	A549	6	cell_painting	A21	SQ00014612	CHEK2-2	A549	4	cell_health
CHEK2	CHEK2-2	A549	6	cell_painting	O04	SQ00014612	CHEK2-2	A549	4	cell_health
COX5B	COX5B-1	A549	6	cell_painting	E04	SQ00014611	COX5B-1	A549	4	cell_health
COX5B	COX5B-1	A549	6	cell_painting	K21	SQ00014611	COX5B-1	A549	4	cell_health
COX5B	COX5B-1	A549	6	cell_painting	E04	SQ00014610	COX5B-1	A549	4	cell_health
COX5B	COX5B-1	A549	6	cell_painting	K21	SQ00014610	COX5B-1	A549	4	cell_health
COX5B	COX5B-1	A549	6	cell_painting	E04	SQ00014612	COX5B-1	A549	4	cell_health
COX5B	COX5B-1	A549	6	cell_painting	K21	SQ00014612	COX5B-1	A549	4	cell_health
COX5B	COX5B-2	A549	6	cell_painting	E02	SQ00014611	COX5B-2	A549	4	cell_health
COX5B	COX5B-2	A549	6	cell_painting	K23	SQ00014611	COX5B-2	A549	4	cell_health
COX5B	COX5B-2	A549	6	cell_painting	E02	SQ00014610	COX5B-2	A549	4	cell_health
COX5B	COX5B-2	A549	6	cell_painting	K23	SQ00014610	COX5B-2	A549	4	cell_health
COX5B	COX5B-2	A549	6	cell_painting	E02	SQ00014612	COX5B-2	A549	4	cell_health
COX5B	COX5B-2	A549	6	cell_painting	K23	SQ00014612	COX5B-2	A549	4	cell_health
CSNK1A1	CSNK1A1-1	A549	6	cell_painting	A23	SQ00014611	CSNK1A1-1	A549	4	cell_health
CSNK1A1	CSNK1A1-1	A549	6	cell_painting	O02	SQ00014611	CSNK1A1-1	A549	4	cell_health
CSNK1A1	CSNK1A1-1	A549	6	cell_painting	A23	SQ00014610	CSNK1A1-1	A549	4	cell_health
CSNK1A1	CSNK1A1-1	A549	6	cell_painting	O02	SQ00014610	CSNK1A1-1	A549	4	cell_health
CSNK1A1	CSNK1A1-1	A549	6	cell_painting	A23	SQ00014612	CSNK1A1-1	A549	4	cell_health
CSNK1A1	CSNK1A1-1	A549	6	cell_painting	O02	SQ00014612	CSNK1A1-1	A549	4	cell_health
CSNK1A1	CSNK1A1-2	A549	6	cell_painting	C01	SQ00014611	CSNK1A1-2	A549	4	cell_health
CSNK1A1	CSNK1A1-2	A549	6	cell_painting	M24	SQ00014611	CSNK1A1-2	A549	4	cell_health
CSNK1A1	CSNK1A1-2	A549	6	cell_painting	C01	SQ00014610	CSNK1A1-2	A549	4	cell_health
CSNK1A1	CSNK1A1-2	A549	6	cell_painting	M24	SQ00014610	CSNK1A1-2	A549	4	cell_health
CSNK1A1	CSNK1A1-2	A549	6	cell_painting	C01	SQ00014612	CSNK1A1-2	A549	4	cell_health
CSNK1A1	CSNK1A1-2	A549	6	cell_painting	M24	SQ00014612	CSNK1A1-2	A549	4	cell_health
CTNNB1	CTNNB1-1	A549	6	cell_painting	C03	SQ00014611	CTNNB1-1	A549	4	cell_health
CTNNB1	CTNNB1-1	A549	6	cell_painting	M22	SQ00014611	CTNNB1-1	A549	4	cell_health
CTNNB1	CTNNB1-1	A549	6	cell_painting	C03	SQ00014610	CTNNB1-1	A549	4	cell_health
CTNNB1	CTNNB1-1	A549	6	cell_painting	M22	SQ00014610	CTNNB1-1	A549	4	cell_health
CTNNB1	CTNNB1-1	A549	6	cell_painting	C03	SQ00014612	CTNNB1-1	A549	4	cell_health
CTNNB1	CTNNB1-1	A549	6	cell_painting	M22	SQ00014612	CTNNB1-1	A549	4	cell_health
CTNNB1	CTNNB1-2	A549	6	cell_painting	C05	SQ00014611	CTNNB1-2	A549	4	cell_health
CTNNB1	CTNNB1-2	A549	6	cell_painting	M20	SQ00014611	CTNNB1-2	A549	4	cell_health
CTNNB1	CTNNB1-2	A549	6	cell_painting	C05	SQ00014610	CTNNB1-2	A549	4	cell_health
CTNNB1	CTNNB1-2	A549	6	cell_painting	M20	SQ00014610	CTNNB1-2	A549	4	cell_health
CTNNB1	CTNNB1-2	A549	6	cell_painting	C05	SQ00014612	CTNNB1-2	A549	4	cell_health
CTNNB1	CTNNB1-2	A549	6	cell_painting	M20	SQ00014612	CTNNB1-2	A549	4	cell_health
Chr2	Chr2-1	A549	24	cell_painting	B01	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	D01	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	F13	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	H13	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	J12	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	L12	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	N24	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	P24	SQ00014611	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	B01	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	D01	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	F13	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	H13	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	J12	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	L12	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	N24	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	P24	SQ00014610	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	B01	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	D01	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	F13	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	H13	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	J12	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	L12	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	N24	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-1	A549	24	cell_painting	P24	SQ00014612	Chr2-1	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	B12	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	D12	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	F24	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	H24	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	J01	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	L01	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	N13	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	P13	SQ00014611	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	B12	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	D12	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	F24	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	H24	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	J01	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	L01	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	N13	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	P13	SQ00014610	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	B12	SQ00014612	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	D12	SQ00014612	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	F24	SQ00014612	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	H24	SQ00014612	Chr2-2	A549	16	cell_health
Chr2	Chr2-2	A549	24	cell_painting	J01	SQ00014612	Chr2-2	A549	16	cell_health
