features	cell_health_median_target_vb_live_cell_roundness	cell_health_median_target_cc_g1_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_mitosis_high_h2ax	cell_health_median_target_cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_cc_s	cell_health_median_target_cc_early_mitosis_n_objects	cell_health_median_target_cc_polynuclear_high_h2ax	cell_health_median_target_cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_late_mitosis_n_objects	cell_health_median_target_cc_s_intensity_nucleus_area_mean	cell_health_median_target_cc_all_n_objects	cell_health_median_target_cc_cc_g2	cell_health_median_target_vb_percent_early_apoptosis	cell_health_median_target_cc_cc_n_spots_h2ax_mean	cell_health_median_target_cc_s_high_h2ax	cell_health_median_target_cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_vb_ros_back_mean	cell_health_median_target_cc_polyploid_n_objects	cell_health_median_target_cc_cc_n_objects	cell_health_median_target_vb_percent_late_apoptosis	cell_health_median_target_cc_g2_n_objects	cell_health_median_target_vb_live_cell_width_length	cell_health_median_target_cc_cc_high_h2ax	cell_health_median_target_cc_polyploid_high_h2ax	cell_health_median_target_cc_mitosis_n_spots_h2ax_mean	cell_health_median_target_cc_g2_high_h2ax	cell_health_median_target_cc_s_intensity_nucleus_area_sum	cell_health_median_target_cc_s_n_objects	cell_health_median_target_cc_s_n_spots_h2ax_mean	cell_health_median_target_cc_all_high_h2ax	cell_health_median_target_cc_late_mitosis_high_h2ax	cell_health_median_target_cc_early_mitosis_high_h2ax	cell_health_median_target_vb_percent_dead	cell_health_median_target_cc_polynuclear_n_objects	cell_health_median_target_vb_percent_caspase_dead_only	cell_health_median_target_cc_g2_plus_all_m_count	cell_health_median_target_cc_g1_n_spots_h2ax_mean	cell_health_median_target_cc_mitosis_n_objects	cell_health_median_target_cc_cc_late_mitosis	cell_health_median_target_cc_g2_g1_count	cell_health_median_target_vb_percent_live	cell_health_median_target_cc_g2_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_vb_infection_percentage	cell_health_median_target_cc_cc_early_mitosis	cell_health_median_target_vb_percent_dead_only	cell_health_median_target_vb_live_cell_area	cell_health_median_target_cc_infection_percentage	cell_health_median_target_cc_polynuclear_n_spots_h2ax_mean	cell_health_median_target_cc_all_nucleus_area_mean	cell_health_median_target_cc_all_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_all_n_spots_h2ax_mean	cell_health_median_target_cc_cc_mitosis	cell_health_median_target_vb_percent_all_apoptosis	cell_health_median_target_cc_g1_n_objects	cell_health_median_target_cc_all_large_round_polyploid_mean	cell_health_median_target_cc_cc_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_all_large_notround_polynuclear_mean	cell_health_median_target_cc_g2_n_spots_h2ax_mean	cell_health_median_target_cc_polyploid_n_spots_h2ax_mean	cell_health_median_target_cc_g1_plus_g2_count	cell_health_median_target_cc_g1_high_h2ax	cell_health_median_target_vb_ros_mean	cell_health_median_target_cc_late_mitosis_n_spots_h2ax_mean	cell_health_median_target_cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_cc_g1	cell_health_median_target_cc_all_nucleus_roundness_mean	cell_health_median_target_cc_s_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_vb_num_live_cells	cell_health_median_target_cc_early_mitosis_n_spots_h2ax_mean
Cells_AreaShape_Zernike_6_0	-0.0	0.0	-0.0	-0.0	-0.0	0.017693246195219163	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.006963815877544878	-0.0	-0.0	-0.0	-0.019377221816511688	-0.0	0.0	0.0	0.0	-0.0	0.009268733884601012	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.00986842554389189	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.010293981515990851	0.0	-0.0	0.0270902912854766	-0.0	0.05202187689425207	0.0	-0.0	0.0	-0.0	-0.03193885070448253	0.0	0.0	-0.0	-0.0	-0.04091658315710999	0.006928413118539634	-0.0	0.0	-0.0
Cells_AreaShape_Zernike_6_2	0.0	-0.0323832109328798	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.01990318974718447	0.003262797030349355	0.017460273967962722	0.0	0.0	-0.05456499372299847	-0.032531724701727736	-0.0	0.0	0.0	0.024403150573043122	-0.0034143372486768082	0.0	0.0	-0.047365431644203516	-0.013580312675508374	-0.0	-0.0	0.01474654807527242	0.011105718204161162	-0.06722403377349659	-0.0291075512608491	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.018987732933022493	0.0	0.015738254473113136	0.0	0.0	-0.1542245243046207	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.053645080471823696	-0.03558117560742999	0.0	-0.0	0.018580887024159942	0.0	-0.0861213151438339	0.0	-0.08807549361165168	0.0	-0.0017572643736978998	-0.0	0.0	-0.0	0.0	-0.006019198446623202	-0.0	-0.026627570565934715	0.03452404635622803	-0.0
Cells_AreaShape_Zernike_6_4	-0.017784439980107435	-0.012645423930767261	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.05442356219604002	0.00925514559292489	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.013123988331872859	0.0	-0.0	0.0	-0.01895327783075245	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.043824923045717626	0.0	-0.0	-0.0	0.0	0.0029420687870976205	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.014364641623852634	-0.0	0.0	0.014748396507153485	0.0	0.0	-0.0	-0.013810899808802957	0.0	0.07267658713691293	-0.0	0.02123708143348213	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
Cells_AreaShape_Zernike_7_1	-0.04760615009433322	-0.026813262984337977	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.011722711270397573	0.0	0.0	0.04994073173528792	0.0	-0.0	-0.0	0.0	-0.06554149445505425	0.0	0.0	-0.015217306708981219	-0.0	-0.014797910116495993	-0.02906259435602048	-0.05897694073667982	0.0	-0.0	0.0	0.006340587685687538	-0.0	-0.07742362592608809	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.012673216533607626	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.06408866753371173	-0.06368196358733412	-0.0	-0.014152386652908584	0.0	-0.0	-0.024316870349186254	0.0	-0.0	0.0	0.0	0.0	-0.039979102724963814	-0.0	0.0	-0.022398299001207416	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_7_3	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.07881176536958585	0.0	-0.0	0.03683053244779031	-0.0	-0.0	-0.03938851212454871	0.0	0.0	-0.01625736385411122	-0.0	-0.021829708127598352	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0005095852397753295	-0.0	0.0	0.0	0.0	-0.12299293787748772	0.0	-0.0	-0.04748161242746331	0.0	0.0	0.0	0.0	0.0	0.0	0.0035766232033954595	-0.0	-0.0	0.0	-0.012061657114933717	-0.0	-0.03311271257890943	0.0	-0.0	-0.025501249093051976	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.048528259499953014	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_7_7	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.050218307806036734	-0.0	0.0	-0.0	0.0	0.0	-0.006623460386635627	-0.0018049463927571718	-0.0	-0.0	0.0	0.003719802206089791	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0002868154362883429	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.023386869865739696	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0059185892430414725	-0.0
Cells_AreaShape_Zernike_8_0	-0.04587228455664348	-0.019980237852000874	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.014653025931404336	0.0	0.0	-0.0	-0.0	0.0	0.053024271306989154	0.0	-0.025023411357927638	0.0	-0.0	-0.018449642675349893	-0.0	0.005938357667448511	-0.0	0.0	-0.0	-0.017470177519246958	-0.0	-0.013187261962304252	0.0	0.0	0.007069731303018059	-0.0	-0.0	0.013781599531203783	-0.0	-0.0	-0.0	0.0	-0.006397375266994935	-0.0010484115189731927	-0.0	-0.0	0.02780577255984288	0.020815539459633832	-0.0	0.0	0.017768812985253884	-0.04004182509561206	-0.02296702790102922	0.0	-0.0	-0.022703525150659994	0.0	-0.026829019123527597	-0.0	-0.0	0.0	0.02557590198519188	0.0	0.00954067229676053	-0.0	0.0	-0.0	-0.0	-0.0	-0.044005924179205215	0.0
Cells_AreaShape_Zernike_8_2	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.00034912495725687335	-0.0	0.0	0.000787627329948247	0.0	-0.0	-0.016502232765120643	0.0	-0.001606622888627335	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.01381967690931733	-0.012580815514353721	0.0	0.04142511809264155	-0.0	0.0	-0.012369344269297528	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.011812406148310507	0.0	0.0	0.0	-0.01831954466453866	0.0	0.0	0.0	0.01259959568588203	0.0439570928103695	0.07393209911359946	-0.0	-0.0	-0.0	0.01672374129024383	0.012503187531841025	0.0	0.0	0.0	0.0	0.0	-0.009718240672686427	-0.0	0.0	0.0	0.0	-0.0	-0.0015330277762366997	0.0
Cells_AreaShape_Zernike_8_4	-0.02293364619929143	-0.0	-0.0	0.0	-0.0	-0.036869056194191584	0.0	0.0	-0.0	0.0	-0.0	0.0	0.03921965504476352	-0.0	0.0	-0.0	0.0	-0.056311663624042226	-0.0	0.006510996234862761	-0.0032521935373951995	0.0	-0.0	0.0	-0.005308731519992968	0.0	-0.0	0.0	0.0	0.0	-0.007104350903380497	0.0	0.0	0.01716195143654094	-0.010160265191897583	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.017642902908821943	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.014133198121016238	0.024700174285963376	-0.08825984736194695	0.0	-0.0658835822048492	-0.0	0.0	0.081007342290123	-0.0	-0.019812262246274033	0.0	0.0	0.02175883121492008	0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_8_6	-0.0	-0.015709504772596354	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.005442728410184486	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.04482714593566543	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.00032592729746262674	-0.0	-0.0	-0.008034693803785712	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0033232770261969707	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_8_8	0.0	-0.015986062589157236	0.0	-0.0	-0.0	-0.0	0.0015236558930775753	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.024315446001569367	0.0	-0.0	-0.0	0.0015227500596858093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024233048571802813	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.018718358896465323	0.0	-0.0	-0.0	0.0	0.0	0.0	0.013391578564586814	0.009400673406452105	0.014609346889106626	-0.0	-0.0	0.0	-0.0	0.0	-0.008735771336895478	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0
