Image_Metadata_Well	SQ00014614	gene_name	pert_name	broad_sample	cell_line
E03	687	KIF11	KIF11-1	BRDN0000734411	ES2
E04	2596	COX5B	COX5B-1		ES2
E05	115	KIF11	KIF11-2	BRDN0000734657	ES2
E06	1981	CDK2	CDK2-2		ES2
E07	2255	MTOR	MTOR-1	BRDN0000734637	ES2
E08	2230	CDK2	CDK2-1		ES2
E09	2203	MTOR	MTOR-2	BRDN0000734053	ES2
E10	2319	CCNE1	CCNE1-2		ES2
E11	2369	PIK3CA	PIK3CA-1	BRDN0001054759	ES2
E12	2159	CCNE1	CCNE1-1		ES2
E13	2460	PIK3CA	PIK3CA-2	BRDN0001054804	ES2
E14	562	CCND1	CCND1-2		ES2
E15	2817	RAC1	RAC1-1	BRDN0001062183	ES2
E16	1389	CCND1	CCND1-1		ES2
E17	2441	RAC1	RAC1-2	BRDN0001062199	ES2
E18	2402	BRCA1	BRCA1-2		ES2
E19	2634	RHOA	RHOA-1	BRDN0000990371	ES2
E20	2879	BRCA1	BRCA1-1		ES2
E21	2046	RHOA	RHOA-2	BRDN0000990437	ES2
E22	3013	BCL2L2	BCL2L2-2		ES2
E23	1938	SDHB	SDHB-1	BRDN0000986589	ES2
E24	2202	BCL2L2	BCL2L2-1		ES2
F01	779	POLR2D	POLR2D-1		ES2
F02	2910	EMPTY	EMPTY		ES2
F03	2781	Chr2	Chr2-3		ES2
F04	1276	PPIB	PPIB-2		ES2
F05	2144	ORC4	ORC4-2		ES2
F06	2471	Chr2	Chr2-6		ES2
F07	2839	Chr2	Chr2-6		ES2
F08	1202	ORC4	ORC4-2		ES2
F09	2717	RAF1	RAF1-1		ES2
F10	2542	Chr2	Chr2-3		ES2
F11	3330	RAF1	RAF1-2		ES2
F12	476	POLR2D	POLR2D-1		ES2
F13	2552	Chr2	Chr2-1		ES2
F14	1616	XBP	XBP-2		ES2
F15	816	POLR2D	POLR2D-2		ES2
F16	1915	XBP	XBP-1		ES2
F17	1966	Chr2	Chr2-4		ES2
F18	734	PSMA1	PSMA1-2		ES2
F19	1053	PSMA1	PSMA1-1		ES2
F20	1825	Chr2	Chr2-5		ES2
F21	2551	EMPTY	EMPTY		ES2
F22	1768	ORC4	ORC4-1		ES2
F23	2784	PPIB	PPIB-1		ES2
F24	1462	Chr2	Chr2-2		ES2
G01	1927	SDHB	SDHB-2	BRDN0000986593	ES2
G02	1937	BCL2	BCL2-2		ES2
G03	2262	SMARCB1	SMARCB1-1	BRDN0001062203	ES2
G04	2424	BCL2	BCL2-1		ES2
G05	2407	SMARCB1	SMARCB1-2	BRDN0001062218	ES2
G06	1334	AURKB	AURKB-2		ES2
G07	2168	STAT3	STAT3-1	BRDN0001063739	ES2
G08	579	CDK4	CDK4-3		ES2
G09	1869	STAT3	STAT3-2	BRDN0000579974	ES2
G10	1511	ATP50	ATP50-2		ES2
G11	2623	SUZ12	SUZ12-1	BRDN0001057351	ES2
G12	2742	ATP50	ATP50-1		ES2
G13	1892	SUZ12	SUZ12-2	BRDN0001057661	ES2
G14	1966	ATF4	ATF4-2		ES2
G15	2927	EZH2	EZH2-1	BRDN0000733051	ES2
G16	1287	ATF4	ATF4-1		ES2
G17	2165	EZH2	EZH2-2	BRDN0000733144	ES2
G18	1535	ARID1B	ARID1B-2		ES2
G19	1776	PTK2	PTK2-1	BRDN0000990543	ES2
G20	1297	ARID1B	ARID1B-1		ES2
G21	1543	PTK2	PTK2-2	BRDN0000990405	ES2
G22	2707	EMPTY	EMPTY		ES2
G23	2306	EMPTY	EMPTY		ES2
G24	1469	EMPTY	EMPTY		ES2
H01	683	POLR2D	POLR2D-1		ES2
H02	1216	EMPTY	EMPTY		ES2
H03	2157	Chr2	Chr2-3		ES2
H04	2070	PPIB	PPIB-2		ES2
H05	2027	ORC4	ORC4-2		ES2
H06	1990	Chr2	Chr2-6		ES2
H07	1613	Chr2	Chr2-6		ES2
H08	2057	ORC4	ORC4-2		ES2
H09	1147	SLC2A1	SLC2A1-1		ES2
H10	2283	Chr2	Chr2-3		ES2
H11	1320	SLC2A2	SLC2A2-2		ES2
H12	655	POLR2D	POLR2D-1		ES2
H13	1932	Chr2	Chr2-1		ES2
H14	1694	TXN	TXN-2		ES2
H15	790	POLR2D	POLR2D-2		ES2
H16	2008	TXN	TXN-1		ES2
H17	2039	Chr2	Chr2-4		ES2
H18	761	PSMA1	PSMA1-2		ES2
H19	827	PSMA1	PSMA1-1		ES2
H20	1848	Chr2	Chr2-5		ES2
H21	1077	EMPTY	EMPTY		ES2
H22	2233	ORC4	ORC4-1		ES2
H23	1741	PPIB	PPIB-1		ES2
H24	1829	Chr2	Chr2-2		ES2
I01	1234	EMPTY	EMPTY		ES2
I02	2536	EMPTY	EMPTY		ES2
I03	2891	EMPTY	EMPTY		ES2
I04	2348	PTK2	PTK2-2	BRDN0000990405	ES2
I05	2485	ARID1B	ARID1B-1		ES2
I06	1877	PTK2	PTK2-1	BRDN0000990543	ES2
I07	1909	ARID1B	ARID1B-2		ES2
I08	2215	EZH2	EZH2-2	BRDN0000733144	ES2
I09	1410	ATF4	ATF4-1		ES2
I10	1470	EZH2	EZH2-1	BRDN0000733051	ES2
I11	2417	ATF4	ATF4-2		ES2
I12	1881	SUZ12	SUZ12-2	BRDN0001057661	ES2
I13	2153	ATP50	ATP50-1		ES2
I14	2157	SUZ12	SUZ12-1	BRDN0001057351	ES2
I15	1896	ATP50	ATP50-2		ES2
I16	2312	STAT3	STAT3-2	BRDN0000579974	ES2
I17	804	CDK4	CDK4-3		ES2
I18	973	STAT3	STAT3-1	BRDN0001063739	ES2
I19	1707	AURKB	AURKB-2		ES2
I20	2307	SMARCB1	SMARCB1-2	BRDN0001062218	ES2
I21	1939	BCL2	BCL2-1		ES2
I22	2196	SMARCB1	SMARCB1-1	BRDN0001062203	ES2
I23	2029	BCL2	BCL2-2		ES2
I24	1847	SDHB	SDHB-2	BRDN0000986593	ES2
J01	1693	Chr2	Chr2-2		ES2
J02	1728	PPIB	PPIB-1		ES2
J03	1810	ORC4	ORC4-1		ES2
J04	1741	EMPTY	EMPTY		ES2
J05	2459	Chr2	Chr2-5		ES2
J06	938	PSMA1	PSMA1-1		ES2
J07	639	PSMA1	PSMA1-2		ES2
J08	1632	Chr2	Chr2-4		ES2
J09	2642	TXN	TXN-1		ES2
J10	831	POLR2D	POLR2D-2		ES2
J11	1788	TXN	TXN-2		ES2
J12	1966	Chr2	Chr2-1		ES2
J13	639	POLR2D	POLR2D-1		ES2
J14	2025	SLC2A2	SLC2A2-2		ES2
J15	1912	Chr2	Chr2-3		ES2
J16	1139	SLC2A1	SLC2A1-1		ES2
J17	1765	ORC4	ORC4-2		ES2
J18	1746	Chr2	Chr2-6		ES2
J19	1752	Chr2	Chr2-6		ES2
J20	2041	ORC4	ORC4-2		ES2
J21	1967	PPIB	PPIB-2		ES2
J22	1880	Chr2	Chr2-3		ES2
J23	1818	EMPTY	EMPTY		ES2
J24	826	POLR2D	POLR2D-1		ES2
K01	2296	BCL2L2	BCL2L2-1		ES2
K02	2030	SDHB	SDHB-1	BRDN0000986589	ES2
K03	2750	BCL2L2	BCL2L2-2		ES2
K04	2232	RHOA	RHOA-2	BRDN0000990437	ES2
K05	2603	BRCA1	BRCA1-1		ES2
K06	2698	RHOA	RHOA-1	BRDN0000990371	ES2
K07	3048	BRCA1	BRCA1-2		ES2
K08	2124	RAC1	RAC1-2	BRDN0001062199	ES2
K09	1256	CCND1	CCND1-1		ES2
K10	2310	RAC1	RAC1-1	BRDN0001062183	ES2
K11	520	CCND1	CCND1-2		ES2
K12	2478	PIK3CA	PIK3CA-2	BRDN0001054804	ES2
K13	2108	CCNE1	CCNE1-1		ES2
K14	2298	PIK3CA	PIK3CA-1	BRDN0001054759	ES2
K15	1719	CCNE1	CCNE1-2		ES2
K16	2040	MTOR	MTOR-2	BRDN0000734053	ES2
K17	2451	CDK2	CDK2-1		ES2
K18	1645	MTOR	MTOR-1	BRDN0000734637	ES2
K19	1829	CDK2	CDK2-2		ES2
K20	174	KIF11	KIF11-2	BRDN0000734657	ES2
K21	2157	COX5B	COX5B-1		ES2
K22	371	KIF11	KIF11-1	BRDN0000734411	ES2
K23	2165	COX5B	COX5B-2		ES2
K24	1847	JAK3	JAK3-2	BRDN0001065702	ES2
L01	2699	Chr2	Chr2-2		ES2
L02	1424	PPIB	PPIB-1		ES2
L03	1758	ORC4	ORC4-1		ES2
L04	2188	EMPTY	EMPTY		ES2
L05	2223	Chr2	Chr2-5		ES2
L06	1361	PSMA1	PSMA1-1		ES2
L07	929	PSMA1	PSMA1-2		ES2
L08	2197	Chr2	Chr2-4		ES2
L09	2644	XBP	XBP-1		ES2
L10	1041	POLR2D	POLR2D-2		ES2
L11	2364	XBP	XBP-2		ES2
L12	2089	Chr2	Chr2-1		ES2
L13	543	POLR2D	POLR2D-1		ES2
L14	1992	RAF1	RAF1-2		ES2
L15	1689	Chr2	Chr2-3		ES2
L16	2272	RAF1	RAF1-1		ES2
L17	1896	ORC4	ORC4-2		ES2
L18	2268	Chr2	Chr2-6		ES2
L19	2171	Chr2	Chr2-6		ES2
L20	2054	ORC4	ORC4-2		ES2
L21	2233	PPIB	PPIB-2		ES2
L22	1740	Chr2	Chr2-3		ES2
L23	1975	EMPTY	EMPTY		ES2
L24	676	POLR2D	POLR2D-1		ES2
M01	1639	EGLN1	EGLN1-8		ES2
M02	1554	JAK3	JAK3-1	BRDN0001065886	ES2
M03	1691	EGLN1	EGLN1-9		ES2
M04	922	ITGAV	ITGAV-2	BRDN0001052667	ES2
M05	2375	ERBB2	ERBB2-1		ES2
M06	827	ITGAV	ITGAV-1	BRDN0001052092	ES2
M07	2309	ERBB2	ERBB2-2		ES2
M08	1900	ERBB3	ERBB3-2	BRDN0001054867	ES2
M09	2491	EMPTY	EMPTY		ES2
M10	1982	ERBB3	ERBB3-1	BRDN0001054818	ES2
M11	2052	EMPTY	EMPTY		ES2
M12	2067	EGFR	EGFR-2	BRDN0001054761	ES2
M13	2753	GLS	GLS-1		ES2
M14	2512	EGFR	EGFR-1	BRDN0001054960	ES2
M15	1953	GLS	GLS-2		ES2
M16	1913	DOT1L	DOT1L-2	BRDN0001057286	ES2
M17	335	GPX4	GPX4-1		ES2
M18	2202	DOT1L	DOT1L-1	BRDN0001057300	ES2
M19	214	GPX4	GPX4-2		ES2
M20	1765	CTNNB1	CTNNB1-2	BRDN0000579714	ES2
M21	2458	HIF1a	HIF1a-1		ES2
M22	2128	CTNNB1	CTNNB1-1	BRDN0001065286	ES2
M23	2812	HIF1a	HIF1a-2		ES2
M24	1807	CSNK1A1	CSNK1A1-2	BRDN0000585480	ES2
N01	1637	LacZ	LacZ-2	BRDN0000585793	ES2
N02	2212	EMPTY	EMPTY		ES2
N03	2013	LacZ	LacZ-2	BRDN0000585793	ES2
N04	1471	PPIB	PPIB-1		ES2
N05	1782	EMPTY	EMPTY		ES2
N06	1843	EMPTY	EMPTY		ES2
N07	1973	EMPTY	EMPTY		ES2
N08	2226	EMPTY	EMPTY		ES2
N09	873	YAP1	YAP1-1		ES2
N10	2310	Luc	Luc-2	BRDN0000585515	ES2
N11	947	YAP1	YAP1-2		ES2
N12	2232	Luc	Luc-1	BRDN0000585635	ES2
N13	2029	Chr2	Chr2-2		ES2
N14	2085	PRDX1	PRDX1-2		ES2
N15	1619	ORC4	ORC4-1		ES2
N16	2446	PRDX1	PRDX1-1		ES2
N17	2205	Chr2	Chr2-5		ES2
N18	868	PSMA1	PSMA1-1		ES2
N19	720	PSMA1	PSMA1-2		ES2
N20	2067	Chr2	Chr2-4		ES2
N21	1956	EMPTY	EMPTY		ES2
N22	690	POLR2D	POLR2D-2		ES2
N23	1869	PPIB	PPIB-2		ES2
N24	1574	Chr2	Chr2-1		ES2
O01	1472	KRAS	KRAS-1		ES2
O02	2133	CSNK1A1	CSNK1A1-1	BRDN0001065659	ES2
O03	2144	KRAS	KRAS-2A		ES2
O04	1613	CHEK2	CHEK2-2	BRDN0000585854	ES2
O05	1641	MAPK1	MAPK1-1		ES2
O06	2264	CHEK2	CHEK2-1	BRDN0000586287	ES2
O07	1866	MAPK1	MAPK1-2		ES2
O08	530	CDK4	CDK4-2	BRDN0001053895	ES2
O09	2390	BCL2L2	BCL2L2-4		ES2
O10	936	CDK4	CDK4-1	BRDN0001053869	ES2
O11	2249	MCL1	MCL1-2		ES2
O12	1635	BRD4	BRD4-2	BRDN0000733577	ES2
O13	870	MYC	MYC-1		ES2
O14	1687	BRD4	BRD4-1	BRDN0000733514	ES2
O15	1102	MYC	MYC-2		ES2
O16	2015	BRAF	BRAF-2	BRDN0000986702	ES2
O17	1983	EMPTY	EMPTY		ES2
O18	2036	BRAF1	BRAF1-1	BRDN0000986682	ES2
O19	2415	EMPTY	EMPTY		ES2
O20	2114	AKT1	AKT1-2	BRDN0001055115	ES2
O21	1826	KRAS	KRAS-2B		ES2
O22	1947	AKT1	AKT1-1	BRDN0001054908	ES2
O23	3092	MCL1	MCL1-5		ES2
O24	2305	EMPTY	EMPTY		ES2
P01	1764	LacZ	LacZ-3	BRDN0000585800	ES2
P02	2464	EMPTY	EMPTY		ES2
P03	1363	LacZ	LacZ-3	BRDN0000585800	ES2
P04	2343	PPIB	PPIB-1		ES2
P05	2291	EMPTY	EMPTY		ES2
P06	2297	EMPTY	EMPTY		ES2
P07	1714	EMPTY	EMPTY		ES2
P08	2338	EMPTY	EMPTY		ES2
P09	1936	EMPTY	EMPTY		ES2
P10	2475	Luc	Luc-2	BRDN0000585515	ES2
P11	1961	EMPTY	EMPTY		ES2
P12	2512	Luc	Luc-1	BRDN0000585635	ES2
P13	1759	Chr2	Chr2-2		ES2
P14	1799	EMPTY	EMPTY		ES2
P15	1807	ORC4	ORC4-1		ES2
P16	1849	EMPTY	EMPTY		ES2
P17	1593	Chr2	Chr2-5		ES2
P18	998	PSMA1	PSMA1-1		ES2
P19	992	PSMA1	PSMA1-2		ES2
P20	2140	Chr2	Chr2-4		ES2
P21	2071	EMPTY	EMPTY		ES2
P22	1067	POLR2D	POLR2D-2		ES2
P23	1919	PPIB	PPIB-2		ES2
P24	1954	Chr2	Chr2-1		ES2
