Image_Metadata_Well	SQ00014612	gene_name	pert_name	broad_sample	cell_line
C09	4493	DOT1L	DOT1L-2	BRDN0001057286	A549
C10	2086	GLS	GLS-2		A549
C11	5073	EGFR	EGFR-1	BRDN0001054960	A549
C12	4042	GLS	GLS-1		A549
C13	4386	EGFR	EGFR-2	BRDN0001054761	A549
C14	3545	EMPTY	EMPTY		A549
C15	3624	ERBB3	ERBB3-1	BRDN0001054818	A549
C16	5293	EMPTY	EMPTY		A549
C17	4023	ERBB3	ERBB3-2	BRDN0001054867	A549
C18	3359	ERBB2	ERBB2-2		A549
C19	2289	ITGAV	ITGAV-1	BRDN0001052092	A549
C20	3016	ERBB2	ERBB2-1		A549
C21	2373	ITGAV	ITGAV-2	BRDN0001052667	A549
C22	3542	EGLN1	EGLN1-9		A549
C23	3360	JAK3	JAK3-1	BRDN0001065886	A549
C24	3718	EGLN1	EGLN1-8		A549
D01	3244	Chr2	Chr2-1		A549
D02	3463	PPIB	PPIB-2		A549
D03	2977	POLR2D	POLR2D-2		A549
D04	3036	EMPTY	EMPTY		A549
D05	4274	Chr2	Chr2-4		A549
D06	1972	PSMA1	PSMA1-2		A549
D07	3083	PSMA1	PSMA1-1		A549
D08	4205	Chr2	Chr2-5		A549
D09	4650	PRDX1	PRDX1-1		A549
D10	3203	ORC4	ORC4-1		A549
D11	4212	PRDX1	PRDX1-2		A549
D12	4152	Chr2	Chr2-2		A549
D13	4838	Luc	Luc-1	BRDN0000585635	A549
D14	4049	YAP1	YAP1-2		A549
D15	4261	Luc	Luc-2	BRDN0000585515	A549
D16	4147	YAP1	YAP1-1		A549
D17	4397	EMPTY	EMPTY		A549
D18	3834	EMPTY	EMPTY		A549
D19	3867	EMPTY	EMPTY		A549
D20	3307	EMPTY	EMPTY		A549
D21	4557	PPIB	PPIB-1		A549
D22	3718	LacZ	LacZ-2	BRDN0000585793	A549
D23	4569	EMPTY	EMPTY		A549
D24	4381	LacZ	LacZ-2	BRDN0000585793	A549
E01	4371	JAK3	JAK3-2	BRDN0001065702	A549
E02	3942	COX5B	COX5B-2		A549
E03	2979	KIF11	KIF11-1	BRDN0000734411	A549
E04	4036	COX5B	COX5B-1		A549
E05	2830	KIF11	KIF11-2	BRDN0000734657	A549
E06	2365	CDK2	CDK2-2		A549
E07	4168	MTOR	MTOR-1	BRDN0000734637	A549
E08	3432	CDK2	CDK2-1		A549
E09	3909	MTOR	MTOR-2	BRDN0000734053	A549
E10	2294	CCNE1	CCNE1-2		A549
E11	3779	PIK3CA	PIK3CA-1	BRDN0001054759	A549
E12	2963	CCNE1	CCNE1-1		A549
E13	3506	PIK3CA	PIK3CA-2	BRDN0001054804	A549
E14	1700	CCND1	CCND1-2		A549
E15	4570	RAC1	RAC1-1	BRDN0001062183	A549
E16	2848	CCND1	CCND1-1		A549
E17	4254	RAC1	RAC1-2	BRDN0001062199	A549
E18	3550	BRCA1	BRCA1-2		A549
E19	3792	RHOA	RHOA-1	BRDN0000990371	A549
E20	3468	BRCA1	BRCA1-1		A549
E21	3466	RHOA	RHOA-2	BRDN0000990437	A549
E22	3716	BCL2L2	BCL2L2-2		A549
E23	3918	SDHB	SDHB-1	BRDN0000986589	A549
E24	3397	BCL2L2	BCL2L2-1		A549
F01	1750	POLR2D	POLR2D-1		A549
F02	4099	EMPTY	EMPTY		A549
F03	4209	Chr2	Chr2-3		A549
F04	2902	PPIB	PPIB-2		A549
F05	3681	ORC4	ORC4-2		A549
F06	4684	Chr2	Chr2-6		A549
F07	3428	Chr2	Chr2-6		A549
F08	4003	ORC4	ORC4-2		A549
F09	3963	RAF1	RAF1-1		A549
F10	3219	Chr2	Chr2-3		A549
F11	4314	RAF1	RAF1-2		A549
F12	1779	POLR2D	POLR2D-1		A549
F13	3840	Chr2	Chr2-1		A549
F14	3758	XBP	XBP-2		A549
F15	2075	POLR2D	POLR2D-2		A549
F16	3439	XBP	XBP-1		A549
F17	4229	Chr2	Chr2-4		A549
F18	2174	PSMA1	PSMA1-2		A549
F19	2699	PSMA1	PSMA1-1		A549
F20	3715	Chr2	Chr2-5		A549
F21	3847	EMPTY	EMPTY		A549
F22	4353	ORC4	ORC4-1		A549
F23	4272	PPIB	PPIB-1		A549
F24	3827	Chr2	Chr2-2		A549
G01	4792	SDHB	SDHB-2	BRDN0000986593	A549
G02	3864	BCL2	BCL2-2		A549
G03	4823	SMARCB1	SMARCB1-1	BRDN0001062203	A549
G04	4584	BCL2	BCL2-1		A549
G05	4793	SMARCB1	SMARCB1-2	BRDN0001062218	A549
G06	4346	AURKB	AURKB-2		A549
G07	4436	STAT3	STAT3-1	BRDN0001063739	A549
G08	2695	CDK4	CDK4-3		A549
G09	3445	STAT3	STAT3-2	BRDN0000579974	A549
G10	2675	ATP50	ATP50-2		A549
G11	3114	SUZ12	SUZ12-1	BRDN0001057351	A549
G12	4232	ATP50	ATP50-1		A549
G13	3231	SUZ12	SUZ12-2	BRDN0001057661	A549
G14	1955	ATF4	ATF4-2		A549
G15	3895	EZH2	EZH2-1	BRDN0000733051	A549
G16	1963	ATF4	ATF4-1		A549
G17	3910	EZH2	EZH2-2	BRDN0000733144	A549
G18	3926	ARID1B	ARID1B-2		A549
G19	3127	PTK2	PTK2-1	BRDN0000990543	A549
G20	3274	ARID1B	ARID1B-1		A549
G21	4123	PTK2	PTK2-2	BRDN0000990405	A549
G22	4236	EMPTY	EMPTY		A549
G23	4817	EMPTY	EMPTY		A549
G24	4494	EMPTY	EMPTY		A549
H01	2163	POLR2D	POLR2D-1		A549
H02	3267	EMPTY	EMPTY		A549
H03	3574	Chr2	Chr2-3		A549
H04	3120	PPIB	PPIB-2		A549
H05	4569	ORC4	ORC4-2		A549
H06	3680	Chr2	Chr2-6		A549
H07	3778	Chr2	Chr2-6		A549
H08	4208	ORC4	ORC4-2		A549
H09	4420	SLC2A1	SLC2A1-1		A549
H10	3245	Chr2	Chr2-3		A549
H11	3715	SLC2A2	SLC2A2-2		A549
H12	1779	POLR2D	POLR2D-1		A549
H13	3251	Chr2	Chr2-1		A549
H14	3435	TXN	TXN-2		A549
H15	2249	POLR2D	POLR2D-2		A549
H16	3116	TXN	TXN-1		A549
H17	3902	Chr2	Chr2-4		A549
H18	2161	PSMA1	PSMA1-2		A549
H19	2561	PSMA1	PSMA1-1		A549
H20	3359	Chr2	Chr2-5		A549
H21	1686	EMPTY	EMPTY		A549
H22	3532	ORC4	ORC4-1		A549
H23	4474	PPIB	PPIB-1		A549
H24	3496	Chr2	Chr2-2		A549
I01	5143	EMPTY	EMPTY		A549
I02	5256	EMPTY	EMPTY		A549
I03	4328	EMPTY	EMPTY		A549
I04	3733	PTK2	PTK2-2	BRDN0000990405	A549
I05	4512	ARID1B	ARID1B-1		A549
I06	3946	PTK2	PTK2-1	BRDN0000990543	A549
I07	3850	ARID1B	ARID1B-2		A549
I08	3566	EZH2	EZH2-2	BRDN0000733144	A549
I09	2620	ATF4	ATF4-1		A549
I10	3214	EZH2	EZH2-1	BRDN0000733051	A549
I11	3310	ATF4	ATF4-2		A549
I12	2420	SUZ12	SUZ12-2	BRDN0001057661	A549
I13	4471	ATP50	ATP50-1		A549
I14	2969	SUZ12	SUZ12-1	BRDN0001057351	A549
I15	2828	ATP50	ATP50-2		A549
I16	3923	STAT3	STAT3-2	BRDN0000579974	A549
I17	3469	CDK4	CDK4-3		A549
I18	3396	STAT3	STAT3-1	BRDN0001063739	A549
I19	3828	AURKB	AURKB-2		A549
I20	3714	SMARCB1	SMARCB1-2	BRDN0001062218	A549
I21	3721	BCL2	BCL2-1		A549
I22	3345	SMARCB1	SMARCB1-1	BRDN0001062203	A549
I23	3514	BCL2	BCL2-2		A549
I24	3286	SDHB	SDHB-2	BRDN0000986593	A549
J01	3876	Chr2	Chr2-2		A549
J02	4287	PPIB	PPIB-1		A549
J03	4666	ORC4	ORC4-1		A549
J04	4453	EMPTY	EMPTY		A549
J05	4258	Chr2	Chr2-5		A549
J06	3104	PSMA1	PSMA1-1		A549
J07	2230	PSMA1	PSMA1-2		A549
J08	4493	Chr2	Chr2-4		A549
J09	3787	TXN	TXN-1		A549
J10	2699	POLR2D	POLR2D-2		A549
J11	3449	TXN	TXN-2		A549
J12	3174	Chr2	Chr2-1		A549
J13	1658	POLR2D	POLR2D-1		A549
J14	4247	SLC2A2	SLC2A2-2		A549
J15	3013	Chr2	Chr2-3		A549
J16	4143	SLC2A1	SLC2A1-1		A549
J17	3591	ORC4	ORC4-2		A549
J18	3254	Chr2	Chr2-6		A549
J19	3330	Chr2	Chr2-6		A549
J20	3822	ORC4	ORC4-2		A549
J21	3386	PPIB	PPIB-2		A549
J22	3098	Chr2	Chr2-3		A549
J23	3417	EMPTY	EMPTY		A549
J24	2229	POLR2D	POLR2D-1		A549
K01	4330	BCL2L2	BCL2L2-1		A549
K02	3639	SDHB	SDHB-1	BRDN0000986589	A549
K03	4301	BCL2L2	BCL2L2-2		A549
K04	4069	RHOA	RHOA-2	BRDN0000990437	A549
K05	3996	BRCA1	BRCA1-1		A549
K06	3283	RHOA	RHOA-1	BRDN0000990371	A549
K07	3632	BRCA1	BRCA1-2		A549
K08	3951	RAC1	RAC1-2	BRDN0001062199	A549
K09	3146	CCND1	CCND1-1		A549
K10	4119	RAC1	RAC1-1	BRDN0001062183	A549
K11	2568	CCND1	CCND1-2		A549
K12	4298	PIK3CA	PIK3CA-2	BRDN0001054804	A549
K13	2961	CCNE1	CCNE1-1		A549
K14	3870	PIK3CA	PIK3CA-1	BRDN0001054759	A549
K15	3096	CCNE1	CCNE1-2		A549
K16	3740	MTOR	MTOR-2	BRDN0000734053	A549
K17	3666	CDK2	CDK2-1		A549
K18	3050	MTOR	MTOR-1	BRDN0000734637	A549
K19	2748	CDK2	CDK2-2		A549
K20	1434	KIF11	KIF11-2	BRDN0000734657	A549
K21	4041	COX5B	COX5B-1		A549
K22	1389	KIF11	KIF11-1	BRDN0000734411	A549
K23	3654	COX5B	COX5B-2		A549
K24	3490	JAK3	JAK3-2	BRDN0001065702	A549
L01	3929	Chr2	Chr2-2		A549
L02	4331	PPIB	PPIB-1		A549
L03	4673	ORC4	ORC4-1		A549
L04	3773	EMPTY	EMPTY		A549
L05	4525	Chr2	Chr2-5		A549
L06	3579	PSMA1	PSMA1-1		A549
L07	2398	PSMA1	PSMA1-2		A549
L08	3767	Chr2	Chr2-4		A549
L09	3871	XBP	XBP-1		A549
L10	2565	POLR2D	POLR2D-2		A549
L11	3464	XBP	XBP-2		A549
L12	3637	Chr2	Chr2-1		A549
L13	1879	POLR2D	POLR2D-1		A549
L14	3544	RAF1	RAF1-2		A549
L15	3933	Chr2	Chr2-3		A549
L16	3390	RAF1	RAF1-1		A549
L17	4038	ORC4	ORC4-2		A549
L18	3768	Chr2	Chr2-6		A549
L19	3306	Chr2	Chr2-6		A549
L20	3885	ORC4	ORC4-2		A549
L21	3051	PPIB	PPIB-2		A549
L22	3729	Chr2	Chr2-3		A549
L23	3500	EMPTY	EMPTY		A549
L24	1945	POLR2D	POLR2D-1		A549
M01	4720	EGLN1	EGLN1-8		A549
M02	3236	JAK3	JAK3-1	BRDN0001065886	A549
M03	3410	EGLN1	EGLN1-9		A549
M04	2223	ITGAV	ITGAV-2	BRDN0001052667	A549
M05	2978	ERBB2	ERBB2-1		A549
M06	1610	ITGAV	ITGAV-1	BRDN0001052092	A549
M07	3207	ERBB2	ERBB2-2		A549
M08	3586	ERBB3	ERBB3-2	BRDN0001054867	A549
M09	4676	EMPTY	EMPTY		A549
M10	3143	ERBB3	ERBB3-1	BRDN0001054818	A549
M11	4117	EMPTY	EMPTY		A549
M12	3107	EGFR	EGFR-2	BRDN0001054761	A549
M13	4398	GLS	GLS-1		A549
M14	3751	EGFR	EGFR-1	BRDN0001054960	A549
M15	3018	GLS	GLS-2		A549
M16	3730	DOT1L	DOT1L-2	BRDN0001057286	A549
M17	3659	GPX4	GPX4-1		A549
M18	3986	DOT1L	DOT1L-1	BRDN0001057300	A549
M19	3437	GPX4	GPX4-2		A549
M20	4568	CTNNB1	CTNNB1-2	BRDN0000579714	A549
M21	3920	HIF1a	HIF1a-1		A549
M22	3486	CTNNB1	CTNNB1-1	BRDN0001065286	A549
M23	4694	HIF1a	HIF1a-2		A549
M24	4030	CSNK1A1	CSNK1A1-2	BRDN0000585480	A549
N01	4651	LacZ	LacZ-2	BRDN0000585793	A549
N02	3396	EMPTY	EMPTY		A549
N03	4464	LacZ	LacZ-2	BRDN0000585793	A549
N04	4621	PPIB	PPIB-1		A549
N05	3405	EMPTY	EMPTY		A549
N06	3760	EMPTY	EMPTY		A549
N07	4551	EMPTY	EMPTY		A549
N08	4625	EMPTY	EMPTY		A549
N09	4309	YAP1	YAP1-1		A549
N10	4199	Luc	Luc-2	BRDN0000585515	A549
N11	4001	YAP1	YAP1-2		A549
N12	4007	Luc	Luc-1	BRDN0000585635	A549
N13	3709	Chr2	Chr2-2		A549
N14	4041	PRDX1	PRDX1-2		A549
N15	3119	ORC4	ORC4-1		A549
N16	4065	PRDX1	PRDX1-1		A549
N17	4037	Chr2	Chr2-5		A549
N18	3023	PSMA1	PSMA1-1		A549
N19	2320	PSMA1	PSMA1-2		A549
N20	3813	Chr2	Chr2-4		A549
N21	3287	EMPTY	EMPTY		A549
N22	2224	POLR2D	POLR2D-2		A549
N23	4015	PPIB	PPIB-2		A549
N24	3524	Chr2	Chr2-1		A549
O01	3832	KRAS	KRAS-1		A549
O02	3874	CSNK1A1	CSNK1A1-1	BRDN0001065659	A549
O03	3427	KRAS	KRAS-2A		A549
O04	4337	CHEK2	CHEK2-2	BRDN0000585854	A549
O05	3883	MAPK1	MAPK1-1		A549
O06	4050	CHEK2	CHEK2-1	BRDN0000586287	A549
O07	3107	MAPK1	MAPK1-2		A549
O08	3086	CDK4	CDK4-2	BRDN0001053895	A549
O09	3238	BCL2L2	BCL2L2-4		A549
O10	2692	CDK4	CDK4-1	BRDN0001053869	A549
O11	3887	MCL1	MCL1-2		A549
O12	3899	BRD4	BRD4-2	BRDN0000733577	A549
O13	2577	MYC	MYC-1		A549
O14	3335	BRD4	BRD4-1	BRDN0000733514	A549
O15	2355	MYC	MYC-2		A549
O16	4038	BRAF	BRAF-2	BRDN0000986702	A549
O17	3790	EMPTY	EMPTY		A549
O18	3750	BRAF1	BRAF1-1	BRDN0000986682	A549
O19	4708	EMPTY	EMPTY		A549
O20	4048	AKT1	AKT1-2	BRDN0001055115	A549
O21	4748	KRAS	KRAS-2B		A549
O22	3698	AKT1	AKT1-1	BRDN0001054908	A549
O23	4111	MCL1	MCL1-5		A549
O24	4542	EMPTY	EMPTY		A549
P01	4704	LacZ	LacZ-3	BRDN0000585800	A549
P02	4804	EMPTY	EMPTY		A549
P03	4911	LacZ	LacZ-3	BRDN0000585800	A549
P04	4251	PPIB	PPIB-1		A549
P05	4786	EMPTY	EMPTY		A549
P06	4286	EMPTY	EMPTY		A549
P07	4182	EMPTY	EMPTY		A549
P08	4314	EMPTY	EMPTY		A549
P09	4585	EMPTY	EMPTY		A549
P10	4280	Luc	Luc-2	BRDN0000585515	A549
P11	4814	EMPTY	EMPTY		A549
P12	4428	Luc	Luc-1	BRDN0000585635	A549
P13	4241	Chr2	Chr2-2		A549
P14	4773	EMPTY	EMPTY		A549
P15	3709	ORC4	ORC4-1		A549
P16	4585	EMPTY	EMPTY		A549
P17	3850	Chr2	Chr2-5		A549
P18	3054	PSMA1	PSMA1-1		A549
P19	2192	PSMA1	PSMA1-2		A549
P20	4307	Chr2	Chr2-4		A549
P21	4451	EMPTY	EMPTY		A549
P22	2416	POLR2D	POLR2D-2		A549
P23	3730	PPIB	PPIB-2		A549
P24	3720	Chr2	Chr2-1		A549
