Image_Metadata_Well	SQ00014615	gene_name	pert_name	broad_sample	cell_line
F13	2214	Chr2	Chr2-1		ES2
F14	2164	XBP	XBP-2		ES2
F15	1072	POLR2D	POLR2D-2		ES2
F16	2629	XBP	XBP-1		ES2
F17	1943	Chr2	Chr2-4		ES2
F18	789	PSMA1	PSMA1-2		ES2
F19	994	PSMA1	PSMA1-1		ES2
F20	1747	Chr2	Chr2-5		ES2
F21	1996	EMPTY	EMPTY		ES2
F22	1231	ORC4	ORC4-1		ES2
F23	2151	PPIB	PPIB-1		ES2
F24	1542	Chr2	Chr2-2		ES2
G01	2477	SDHB	SDHB-2	BRDN0000986593	ES2
G02	2521	BCL2	BCL2-2		ES2
G03	2482	SMARCB1	SMARCB1-1	BRDN0001062203	ES2
G04	2055	BCL2	BCL2-1		ES2
G05	3834	SMARCB1	SMARCB1-2	BRDN0001062218	ES2
G06	2030	AURKB	AURKB-2		ES2
G07	2788	STAT3	STAT3-1	BRDN0001063739	ES2
G08	512	CDK4	CDK4-3		ES2
G09	2119	STAT3	STAT3-2	BRDN0000579974	ES2
G10	1860	ATP50	ATP50-2		ES2
G11	2408	SUZ12	SUZ12-1	BRDN0001057351	ES2
G12	2800	ATP50	ATP50-1		ES2
G13	1796	SUZ12	SUZ12-2	BRDN0001057661	ES2
G14	2032	ATF4	ATF4-2		ES2
G15	2503	EZH2	EZH2-1	BRDN0000733051	ES2
G16	1435	ATF4	ATF4-1		ES2
G17	2226	EZH2	EZH2-2	BRDN0000733144	ES2
G18	2717	ARID1B	ARID1B-2		ES2
G19	1756	PTK2	PTK2-1	BRDN0000990543	ES2
G20	1763	ARID1B	ARID1B-1		ES2
G21	1973	PTK2	PTK2-2	BRDN0000990405	ES2
G22	2033	EMPTY	EMPTY		ES2
G23	1869	EMPTY	EMPTY		ES2
G24	2119	EMPTY	EMPTY		ES2
H01	718	POLR2D	POLR2D-1		ES2
H02	1138	EMPTY	EMPTY		ES2
H03	1790	Chr2	Chr2-3		ES2
H04	1847	PPIB	PPIB-2		ES2
H05	2127	ORC4	ORC4-2		ES2
H06	1961	Chr2	Chr2-6		ES2
H07	2158	Chr2	Chr2-6		ES2
H08	1692	ORC4	ORC4-2		ES2
H09	1240	SLC2A1	SLC2A1-1		ES2
H10	1834	Chr2	Chr2-3		ES2
H11	2285	SLC2A2	SLC2A2-2		ES2
H12	651	POLR2D	POLR2D-1		ES2
H13	1845	Chr2	Chr2-1		ES2
H14	2210	TXN	TXN-2		ES2
H15	849	POLR2D	POLR2D-2		ES2
H16	2125	TXN	TXN-1		ES2
H17	2478	Chr2	Chr2-4		ES2
H18	555	PSMA1	PSMA1-2		ES2
H19	908	PSMA1	PSMA1-1		ES2
H20	1580	Chr2	Chr2-5		ES2
H21	1155	EMPTY	EMPTY		ES2
H22	2294	ORC4	ORC4-1		ES2
H23	1572	PPIB	PPIB-1		ES2
H24	1603	Chr2	Chr2-2		ES2
I01	2631	EMPTY	EMPTY		ES2
I02	1998	EMPTY	EMPTY		ES2
I03	2704	EMPTY	EMPTY		ES2
I04	1931	PTK2	PTK2-2	BRDN0000990405	ES2
I05	2488	ARID1B	ARID1B-1		ES2
I06	2637	PTK2	PTK2-1	BRDN0000990543	ES2
I07	2458	ARID1B	ARID1B-2		ES2
I08	2705	EZH2	EZH2-2	BRDN0000733144	ES2
I09	1538	ATF4	ATF4-1		ES2
I10	2074	EZH2	EZH2-1	BRDN0000733051	ES2
I11	1950	ATF4	ATF4-2		ES2
I12	1970	SUZ12	SUZ12-2	BRDN0001057661	ES2
I13	2193	ATP50	ATP50-1		ES2
I14	1890	SUZ12	SUZ12-1	BRDN0001057351	ES2
I15	2094	ATP50	ATP50-2		ES2
I16	2048	STAT3	STAT3-2	BRDN0000579974	ES2
I17	510	CDK4	CDK4-3		ES2
I18	1871	STAT3	STAT3-1	BRDN0001063739	ES2
I19	2073	AURKB	AURKB-2		ES2
I20	1957	SMARCB1	SMARCB1-2	BRDN0001062218	ES2
I21	2454	BCL2	BCL2-1		ES2
I22	1733	SMARCB1	SMARCB1-1	BRDN0001062203	ES2
I23	1610	BCL2	BCL2-2		ES2
I24	1617	SDHB	SDHB-2	BRDN0000986593	ES2
J01	1702	Chr2	Chr2-2		ES2
J02	1616	PPIB	PPIB-1		ES2
J03	2101	ORC4	ORC4-1		ES2
J04	2296	EMPTY	EMPTY		ES2
J05	2353	Chr2	Chr2-5		ES2
J06	891	PSMA1	PSMA1-1		ES2
J07	731	PSMA1	PSMA1-2		ES2
J08	1893	Chr2	Chr2-4		ES2
J09	2307	TXN	TXN-1		ES2
J10	1053	POLR2D	POLR2D-2		ES2
J11	2069	TXN	TXN-2		ES2
J12	2187	Chr2	Chr2-1		ES2
J13	789	POLR2D	POLR2D-1		ES2
J14	1864	SLC2A2	SLC2A2-2		ES2
J15	1876	Chr2	Chr2-3		ES2
J16	1847	SLC2A1	SLC2A1-1		ES2
J17	2074	ORC4	ORC4-2		ES2
J18	2304	Chr2	Chr2-6		ES2
J19	1860	Chr2	Chr2-6		ES2
J20	2198	ORC4	ORC4-2		ES2
J21	1710	PPIB	PPIB-2		ES2
J22	2032	Chr2	Chr2-3		ES2
J23	1461	EMPTY	EMPTY		ES2
J24	798	POLR2D	POLR2D-1		ES2
K01	2195	BCL2L2	BCL2L2-1		ES2
K02	2623	SDHB	SDHB-1	BRDN0000986589	ES2
K03	2846	BCL2L2	BCL2L2-2		ES2
K04	2113	RHOA	RHOA-2	BRDN0000990437	ES2
K05	2571	BRCA1	BRCA1-1		ES2
K06	2888	RHOA	RHOA-1	BRDN0000990371	ES2
K07	2831	BRCA1	BRCA1-2		ES2
K08	2452	RAC1	RAC1-2	BRDN0001062199	ES2
K09	1155	CCND1	CCND1-1		ES2
K10	2208	RAC1	RAC1-1	BRDN0001062183	ES2
K11	483	CCND1	CCND1-2		ES2
K12	2082	PIK3CA	PIK3CA-2	BRDN0001054804	ES2
K13	2401	CCNE1	CCNE1-1		ES2
K14	1805	PIK3CA	PIK3CA-1	BRDN0001054759	ES2
K15	1397	CCNE1	CCNE1-2		ES2
K16	1786	MTOR	MTOR-2	BRDN0000734053	ES2
K17	1718	CDK2	CDK2-1		ES2
K18	2231	MTOR	MTOR-1	BRDN0000734637	ES2
K19	1513	CDK2	CDK2-2		ES2
K20	129	KIF11	KIF11-2	BRDN0000734657	ES2
K21	2080	COX5B	COX5B-1		ES2
K22	444	KIF11	KIF11-1	BRDN0000734411	ES2
K23	1986	COX5B	COX5B-2		ES2
K24	1485	JAK3	JAK3-2	BRDN0001065702	ES2
L01	1908	Chr2	Chr2-2		ES2
L02	2139	PPIB	PPIB-1		ES2
L03	2411	ORC4	ORC4-1		ES2
L04	2260	EMPTY	EMPTY		ES2
L05	2040	Chr2	Chr2-5		ES2
L06	1102	PSMA1	PSMA1-1		ES2
L07	1015	PSMA1	PSMA1-2		ES2
L08	2577	Chr2	Chr2-4		ES2
L09	2782	XBP	XBP-1		ES2
L10	919	POLR2D	POLR2D-2		ES2
L11	2353	XBP	XBP-2		ES2
L12	1771	Chr2	Chr2-1		ES2
L13	575	POLR2D	POLR2D-1		ES2
L14	2026	RAF1	RAF1-2		ES2
L15	2126	Chr2	Chr2-3		ES2
L16	2399	RAF1	RAF1-1		ES2
L17	1805	ORC4	ORC4-2		ES2
L18	2177	Chr2	Chr2-6		ES2
L19	2578	Chr2	Chr2-6		ES2
L20	1983	ORC4	ORC4-2		ES2
L21	1649	PPIB	PPIB-2		ES2
L22	1956	Chr2	Chr2-3		ES2
L23	2084	EMPTY	EMPTY		ES2
L24	920	POLR2D	POLR2D-1		ES2
M01	1731	EGLN1	EGLN1-8		ES2
M02	1670	JAK3	JAK3-1	BRDN0001065886	ES2
M03	1523	EGLN1	EGLN1-9		ES2
M04	564	ITGAV	ITGAV-2	BRDN0001052667	ES2
M05	1968	ERBB2	ERBB2-1		ES2
M06	1139	ITGAV	ITGAV-1	BRDN0001052092	ES2
M07	2412	ERBB2	ERBB2-2		ES2
M08	2419	ERBB3	ERBB3-2	BRDN0001054867	ES2
M09	2488	EMPTY	EMPTY		ES2
M10	1794	ERBB3	ERBB3-1	BRDN0001054818	ES2
M11	1754	EMPTY	EMPTY		ES2
M12	1664	EGFR	EGFR-2	BRDN0001054761	ES2
M13	2217	GLS	GLS-1		ES2
M14	2627	EGFR	EGFR-1	BRDN0001054960	ES2
M15	2340	GLS	GLS-2		ES2
M16	1755	DOT1L	DOT1L-2	BRDN0001057286	ES2
M17	299	GPX4	GPX4-1		ES2
M18	1984	DOT1L	DOT1L-1	BRDN0001057300	ES2
M19	282	GPX4	GPX4-2		ES2
M20	1860	CTNNB1	CTNNB1-2	BRDN0000579714	ES2
M21	1926	HIF1a	HIF1a-1		ES2
M22	1991	CTNNB1	CTNNB1-1	BRDN0001065286	ES2
M23	2555	HIF1a	HIF1a-2		ES2
M24	2427	CSNK1A1	CSNK1A1-2	BRDN0000585480	ES2
N01	1729	LacZ	LacZ-2	BRDN0000585793	ES2
N02	2158	EMPTY	EMPTY		ES2
N03	2474	LacZ	LacZ-2	BRDN0000585793	ES2
N04	1995	PPIB	PPIB-1		ES2
N05	2422	EMPTY	EMPTY		ES2
N06	2063	EMPTY	EMPTY		ES2
N07	2388	EMPTY	EMPTY		ES2
N08	2813	EMPTY	EMPTY		ES2
N09	1188	YAP1	YAP1-1		ES2
N10	1518	Luc	Luc-2	BRDN0000585515	ES2
N11	1221	YAP1	YAP1-2		ES2
N12	2467	Luc	Luc-1	BRDN0000585635	ES2
N13	2053	Chr2	Chr2-2		ES2
N14	1983	PRDX1	PRDX1-2		ES2
N15	2159	ORC4	ORC4-1		ES2
N16	1905	PRDX1	PRDX1-1		ES2
N17	2074	Chr2	Chr2-5		ES2
N18	1495	PSMA1	PSMA1-1		ES2
N19	1198	PSMA1	PSMA1-2		ES2
N20	2157	Chr2	Chr2-4		ES2
N21	1861	EMPTY	EMPTY		ES2
N22	1206	POLR2D	POLR2D-2		ES2
N23	2259	PPIB	PPIB-2		ES2
N24	1519	Chr2	Chr2-1		ES2
O01	2258	KRAS	KRAS-1		ES2
O02	1859	CSNK1A1	CSNK1A1-1	BRDN0001065659	ES2
O03	3063	KRAS	KRAS-2A		ES2
O04	1976	CHEK2	CHEK2-2	BRDN0000585854	ES2
O05	2616	MAPK1	MAPK1-1		ES2
O06	2399	CHEK2	CHEK2-1	BRDN0000586287	ES2
O07	2329	MAPK1	MAPK1-2		ES2
O08	556	CDK4	CDK4-2	BRDN0001053895	ES2
O09	2173	BCL2L2	BCL2L2-4		ES2
O10	1072	CDK4	CDK4-1	BRDN0001053869	ES2
O11	2956	MCL1	MCL1-2		ES2
O12	1341	BRD4	BRD4-2	BRDN0000733577	ES2
O13	1185	MYC	MYC-1		ES2
O14	1925	BRD4	BRD4-1	BRDN0000733514	ES2
O15	1469	MYC	MYC-2		ES2
O16	1612	BRAF	BRAF-2	BRDN0000986702	ES2
O17	2853	EMPTY	EMPTY		ES2
O18	1950	BRAF1	BRAF1-1	BRDN0000986682	ES2
O19	2315	EMPTY	EMPTY		ES2
O20	2046	AKT1	AKT1-2	BRDN0001055115	ES2
O21	2009	KRAS	KRAS-2B		ES2
O22	2475	AKT1	AKT1-1	BRDN0001054908	ES2
O23	2515	MCL1	MCL1-5		ES2
O24	1811	EMPTY	EMPTY		ES2
P01	1785	LacZ	LacZ-3	BRDN0000585800	ES2
P02	2316	EMPTY	EMPTY		ES2
P03	2176	LacZ	LacZ-3	BRDN0000585800	ES2
P04	2896	PPIB	PPIB-1		ES2
P05	2584	EMPTY	EMPTY		ES2
P06	2317	EMPTY	EMPTY		ES2
P07	1982	EMPTY	EMPTY		ES2
P08	2564	EMPTY	EMPTY		ES2
P09	1592	EMPTY	EMPTY		ES2
P10	2356	Luc	Luc-2	BRDN0000585515	ES2
P11	2366	EMPTY	EMPTY		ES2
P12	2506	Luc	Luc-1	BRDN0000585635	ES2
P13	2098	Chr2	Chr2-2		ES2
P14	1732	EMPTY	EMPTY		ES2
P15	1725	ORC4	ORC4-1		ES2
P16	2458	EMPTY	EMPTY		ES2
P17	1510	Chr2	Chr2-5		ES2
P18	2261	PSMA1	PSMA1-1		ES2
P19	1330	PSMA1	PSMA1-2		ES2
P20	2558	Chr2	Chr2-4		ES2
P21	2188	EMPTY	EMPTY		ES2
P22	1177	POLR2D	POLR2D-2		ES2
P23	2148	PPIB	PPIB-2		ES2
P24	1954	Chr2	Chr2-1		ES2
