Image_Metadata_Well	SQ00014617	gene_name	pert_name	broad_sample	cell_line
D12	2474	Chr2	Chr2-2		HCC44
D13	2513	Luc	Luc-1	BRDN0000585635	HCC44
D14	2414	YAP1	YAP1-2		HCC44
D15	2388	Luc	Luc-2	BRDN0000585515	HCC44
D16	2626	YAP1	YAP1-1		HCC44
D17	2208	EMPTY	EMPTY		HCC44
D18	2752	EMPTY	EMPTY		HCC44
D19	2516	EMPTY	EMPTY		HCC44
D20	1792	EMPTY	EMPTY		HCC44
D21	2195	PPIB	PPIB-1		HCC44
D22	2266	LacZ	LacZ-2	BRDN0000585793	HCC44
D23	2578	EMPTY	EMPTY		HCC44
D24	2684	LacZ	LacZ-2	BRDN0000585793	HCC44
E01	2373	JAK3	JAK3-2	BRDN0001065702	HCC44
E02	2211	COX5B	COX5B-2		HCC44
E03	714	KIF11	KIF11-1	BRDN0000734411	HCC44
E04	2347	COX5B	COX5B-1		HCC44
E05	930	KIF11	KIF11-2	BRDN0000734657	HCC44
E06	1356	CDK2	CDK2-2		HCC44
E07	2380	MTOR	MTOR-1	BRDN0000734637	HCC44
E08	1684	CDK2	CDK2-1		HCC44
E09	2567	MTOR	MTOR-2	BRDN0000734053	HCC44
E10	1916	CCNE1	CCNE1-2		HCC44
E11	2288	PIK3CA	PIK3CA-1	BRDN0001054759	HCC44
E12	1750	CCNE1	CCNE1-1		HCC44
E13	2590	PIK3CA	PIK3CA-2	BRDN0001054804	HCC44
E14	2094	CCND1	CCND1-2		HCC44
E15	2481	RAC1	RAC1-1	BRDN0001062183	HCC44
E16	2650	CCND1	CCND1-1		HCC44
E17	2715	RAC1	RAC1-2	BRDN0001062199	HCC44
E18	2360	BRCA1	BRCA1-2		HCC44
E19	2854	RHOA	RHOA-1	BRDN0000990371	HCC44
E20	2053	BRCA1	BRCA1-1		HCC44
E21	2471	RHOA	RHOA-2	BRDN0000990437	HCC44
E22	2425	BCL2L2	BCL2L2-2		HCC44
E23	2157	SDHB	SDHB-1	BRDN0000986589	HCC44
E24	2121	BCL2L2	BCL2L2-1		HCC44
F01	487	POLR2D	POLR2D-1		HCC44
F02	2423	EMPTY	EMPTY		HCC44
F03	2306	Chr2	Chr2-3		HCC44
F04	2125	PPIB	PPIB-2		HCC44
F05	2400	ORC4	ORC4-2		HCC44
F06	2247	Chr2	Chr2-6		HCC44
F07	2478	Chr2	Chr2-6		HCC44
F08	2310	ORC4	ORC4-2		HCC44
F09	2283	RAF1	RAF1-1		HCC44
F10	2174	Chr2	Chr2-3		HCC44
F11	2433	RAF1	RAF1-2		HCC44
F12	962	POLR2D	POLR2D-1		HCC44
F13	2045	Chr2	Chr2-1		HCC44
F14	2440	XBP	XBP-2		HCC44
F15	1163	POLR2D	POLR2D-2		HCC44
F16	2298	XBP	XBP-1		HCC44
F17	2498	Chr2	Chr2-4		HCC44
F18	1175	PSMA1	PSMA1-2		HCC44
F19	1129	PSMA1	PSMA1-1		HCC44
F20	2178	Chr2	Chr2-5		HCC44
F21	2499	EMPTY	EMPTY		HCC44
F22	2417	ORC4	ORC4-1		HCC44
F23	2395	PPIB	PPIB-1		HCC44
F24	2021	Chr2	Chr2-2		HCC44
G01	2001	SDHB	SDHB-2	BRDN0000986593	HCC44
G02	2509	BCL2	BCL2-2		HCC44
G03	2562	SMARCB1	SMARCB1-1	BRDN0001062203	HCC44
G04	2269	BCL2	BCL2-1		HCC44
G05	2749	SMARCB1	SMARCB1-2	BRDN0001062218	HCC44
G06	1766	AURKB	AURKB-2		HCC44
G07	2611	STAT3	STAT3-1	BRDN0001063739	HCC44
G08	2168	CDK4	CDK4-3		HCC44
G09	2279	STAT3	STAT3-2	BRDN0000579974	HCC44
G10	1922	ATP50	ATP50-2		HCC44
G11	2458	SUZ12	SUZ12-1	BRDN0001057351	HCC44
G12	2230	ATP50	ATP50-1		HCC44
G13	2193	SUZ12	SUZ12-2	BRDN0001057661	HCC44
G14	2262	ATF4	ATF4-2		HCC44
G15	2495	EZH2	EZH2-1	BRDN0000733051	HCC44
G16	1752	ATF4	ATF4-1		HCC44
G17	2388	EZH2	EZH2-2	BRDN0000733144	HCC44
G18	2070	ARID1B	ARID1B-2		HCC44
G19	2254	PTK2	PTK2-1	BRDN0000990543	HCC44
G20	2327	ARID1B	ARID1B-1		HCC44
G21	2249	PTK2	PTK2-2	BRDN0000990405	HCC44
G22	2435	EMPTY	EMPTY		HCC44
G23	2668	EMPTY	EMPTY		HCC44
G24	2451	EMPTY	EMPTY		HCC44
H01	927	POLR2D	POLR2D-1		HCC44
H02	1200	EMPTY	EMPTY		HCC44
H03	2033	Chr2	Chr2-3		HCC44
H04	2209	PPIB	PPIB-2		HCC44
H05	2270	ORC4	ORC4-2		HCC44
H06	2355	Chr2	Chr2-6		HCC44
H07	2239	Chr2	Chr2-6		HCC44
H08	2401	ORC4	ORC4-2		HCC44
H09	2362	SLC2A1	SLC2A1-1		HCC44
H10	2102	Chr2	Chr2-3		HCC44
H11	2311	SLC2A2	SLC2A2-2		HCC44
H12	1084	POLR2D	POLR2D-1		HCC44
H13	2205	Chr2	Chr2-1		HCC44
H14	2415	TXN	TXN-2		HCC44
H15	895	POLR2D	POLR2D-2		HCC44
H16	2398	TXN	TXN-1		HCC44
H17	2238	Chr2	Chr2-4		HCC44
H18	712	PSMA1	PSMA1-2		HCC44
H19	919	PSMA1	PSMA1-1		HCC44
H20	2293	Chr2	Chr2-5		HCC44
H21	1331	EMPTY	EMPTY		HCC44
H22	2305	ORC4	ORC4-1		HCC44
H23	2210	PPIB	PPIB-1		HCC44
H24	2336	Chr2	Chr2-2		HCC44
I01	2295	EMPTY	EMPTY		HCC44
I02	2413	EMPTY	EMPTY		HCC44
I03	2796	EMPTY	EMPTY		HCC44
I04	2274	PTK2	PTK2-2	BRDN0000990405	HCC44
I05	2844	ARID1B	ARID1B-1		HCC44
I06	2335	PTK2	PTK2-1	BRDN0000990543	HCC44
I07	2298	ARID1B	ARID1B-2		HCC44
I08	2347	EZH2	EZH2-2	BRDN0000733144	HCC44
I09	1920	ATF4	ATF4-1		HCC44
I10	2478	EZH2	EZH2-1	BRDN0000733051	HCC44
I11	2495	ATF4	ATF4-2		HCC44
I12	1992	SUZ12	SUZ12-2	BRDN0001057661	HCC44
I13	2343	ATP50	ATP50-1		HCC44
I14	2408	SUZ12	SUZ12-1	BRDN0001057351	HCC44
I15	1547	ATP50	ATP50-2		HCC44
I16	2218	STAT3	STAT3-2	BRDN0000579974	HCC44
I17	2106	CDK4	CDK4-3		HCC44
I18	2435	STAT3	STAT3-1	BRDN0001063739	HCC44
I19	2364	AURKB	AURKB-2		HCC44
I20	2227	SMARCB1	SMARCB1-2	BRDN0001062218	HCC44
I21	2449	BCL2	BCL2-1		HCC44
I22	1858	SMARCB1	SMARCB1-1	BRDN0001062203	HCC44
I23	2397	BCL2	BCL2-2		HCC44
I24	1880	SDHB	SDHB-2	BRDN0000986593	HCC44
J01	2293	Chr2	Chr2-2		HCC44
J02	2557	PPIB	PPIB-1		HCC44
J03	2702	ORC4	ORC4-1		HCC44
J04	2635	EMPTY	EMPTY		HCC44
J05	2188	Chr2	Chr2-5		HCC44
J06	1450	PSMA1	PSMA1-1		HCC44
J07	998	PSMA1	PSMA1-2		HCC44
J08	2403	Chr2	Chr2-4		HCC44
J09	2501	TXN	TXN-1		HCC44
J10	753	POLR2D	POLR2D-2		HCC44
J11	2444	TXN	TXN-2		HCC44
J12	2194	Chr2	Chr2-1		HCC44
J13	972	POLR2D	POLR2D-1		HCC44
J14	2361	SLC2A2	SLC2A2-2		HCC44
J15	2005	Chr2	Chr2-3		HCC44
J16	2197	SLC2A1	SLC2A1-1		HCC44
J17	2304	ORC4	ORC4-2		HCC44
J18	2067	Chr2	Chr2-6		HCC44
J19	2316	Chr2	Chr2-6		HCC44
J20	2052	ORC4	ORC4-2		HCC44
J21	1937	PPIB	PPIB-2		HCC44
J22	1796	Chr2	Chr2-3		HCC44
J23	2252	EMPTY	EMPTY		HCC44
J24	832	POLR2D	POLR2D-1		HCC44
K01	2062	BCL2L2	BCL2L2-1		HCC44
K02	1989	SDHB	SDHB-1	BRDN0000986589	HCC44
K03	2694	BCL2L2	BCL2L2-2		HCC44
K04	2472	RHOA	RHOA-2	BRDN0000990437	HCC44
K05	2520	BRCA1	BRCA1-1		HCC44
K06	2501	RHOA	RHOA-1	BRDN0000990371	HCC44
K07	2478	BRCA1	BRCA1-2		HCC44
K08	2294	RAC1	RAC1-2	BRDN0001062199	HCC44
K09	2609	CCND1	CCND1-1		HCC44
K10	2658	RAC1	RAC1-1	BRDN0001062183	HCC44
K11	2283	CCND1	CCND1-2		HCC44
K12	2559	PIK3CA	PIK3CA-2	BRDN0001054804	HCC44
K13	1863	CCNE1	CCNE1-1		HCC44
K14	2216	PIK3CA	PIK3CA-1	BRDN0001054759	HCC44
K15	2164	CCNE1	CCNE1-2		HCC44
K16	1991	MTOR	MTOR-2	BRDN0000734053	HCC44
K17	1924	CDK2	CDK2-1		HCC44
K18	2145	MTOR	MTOR-1	BRDN0000734637	HCC44
K19	1264	CDK2	CDK2-2		HCC44
K20	509	KIF11	KIF11-2	BRDN0000734657	HCC44
K21	2348	COX5B	COX5B-1		HCC44
K22	160	KIF11	KIF11-1	BRDN0000734411	HCC44
K23	2032	COX5B	COX5B-2		HCC44
K24	2369	JAK3	JAK3-2	BRDN0001065702	HCC44
L01	2445	Chr2	Chr2-2		HCC44
L02	2605	PPIB	PPIB-1		HCC44
L03	2483	ORC4	ORC4-1		HCC44
L04	2291	EMPTY	EMPTY		HCC44
L05	2342	Chr2	Chr2-5		HCC44
L06	768	PSMA1	PSMA1-1		HCC44
L07	1076	PSMA1	PSMA1-2		HCC44
L08	2515	Chr2	Chr2-4		HCC44
L09	2512	XBP	XBP-1		HCC44
L10	860	POLR2D	POLR2D-2		HCC44
L11	2318	XBP	XBP-2		HCC44
L12	2288	Chr2	Chr2-1		HCC44
L13	1036	POLR2D	POLR2D-1		HCC44
L14	2316	RAF1	RAF1-2		HCC44
L15	2099	Chr2	Chr2-3		HCC44
L16	2238	RAF1	RAF1-1		HCC44
L17	2198	ORC4	ORC4-2		HCC44
L18	2348	Chr2	Chr2-6		HCC44
L19	2260	Chr2	Chr2-6		HCC44
L20	2292	ORC4	ORC4-2		HCC44
L21	1961	PPIB	PPIB-2		HCC44
L22	1961	Chr2	Chr2-3		HCC44
L23	2254	EMPTY	EMPTY		HCC44
L24	759	POLR2D	POLR2D-1		HCC44
M01	2027	EGLN1	EGLN1-8		HCC44
M02	1987	JAK3	JAK3-1	BRDN0001065886	HCC44
M03	2105	EGLN1	EGLN1-9		HCC44
M04	1280	ITGAV	ITGAV-2	BRDN0001052667	HCC44
M05	2407	ERBB2	ERBB2-1		HCC44
M06	1012	ITGAV	ITGAV-1	BRDN0001052092	HCC44
M07	2442	ERBB2	ERBB2-2		HCC44
M08	2320	ERBB3	ERBB3-2	BRDN0001054867	HCC44
M09	2771	EMPTY	EMPTY		HCC44
M10	2179	ERBB3	ERBB3-1	BRDN0001054818	HCC44
M11	2366	EMPTY	EMPTY		HCC44
M12	2409	EGFR	EGFR-2	BRDN0001054761	HCC44
M13	2422	GLS	GLS-1		HCC44
M14	2381	EGFR	EGFR-1	BRDN0001054960	HCC44
M15	2368	GLS	GLS-2		HCC44
M16	2716	DOT1L	DOT1L-2	BRDN0001057286	HCC44
M17	2489	GPX4	GPX4-1		HCC44
M18	2512	DOT1L	DOT1L-1	BRDN0001057300	HCC44
M19	2750	GPX4	GPX4-2		HCC44
M20	2409	CTNNB1	CTNNB1-2	BRDN0000579714	HCC44
M21	2384	HIF1a	HIF1a-1		HCC44
M22	2008	CTNNB1	CTNNB1-1	BRDN0001065286	HCC44
M23	2479	HIF1a	HIF1a-2		HCC44
M24	2418	CSNK1A1	CSNK1A1-2	BRDN0000585480	HCC44
N01	2487	LacZ	LacZ-2	BRDN0000585793	HCC44
N02	2426	EMPTY	EMPTY		HCC44
N03	2505	LacZ	LacZ-2	BRDN0000585793	HCC44
N04	2454	PPIB	PPIB-1		HCC44
N05	2127	EMPTY	EMPTY		HCC44
N06	2247	EMPTY	EMPTY		HCC44
N07	2588	EMPTY	EMPTY		HCC44
N08	2623	EMPTY	EMPTY		HCC44
N09	2187	YAP1	YAP1-1		HCC44
N10	2436	Luc	Luc-2	BRDN0000585515	HCC44
N11	2345	YAP1	YAP1-2		HCC44
N12	2604	Luc	Luc-1	BRDN0000585635	HCC44
N13	2330	Chr2	Chr2-2		HCC44
N14	2333	PRDX1	PRDX1-2		HCC44
N15	2239	ORC4	ORC4-1		HCC44
N16	2565	PRDX1	PRDX1-1		HCC44
N17	2186	Chr2	Chr2-5		HCC44
N18	1091	PSMA1	PSMA1-1		HCC44
N19	861	PSMA1	PSMA1-2		HCC44
N20	2307	Chr2	Chr2-4		HCC44
N21	1791	EMPTY	EMPTY		HCC44
N22	839	POLR2D	POLR2D-2		HCC44
N23	1911	PPIB	PPIB-2		HCC44
N24	2144	Chr2	Chr2-1		HCC44
O01	2009	KRAS	KRAS-1		HCC44
O02	2483	CSNK1A1	CSNK1A1-1	BRDN0001065659	HCC44
O03	1860	KRAS	KRAS-2A		HCC44
O04	2405	CHEK2	CHEK2-2	BRDN0000585854	HCC44
O05	2240	MAPK1	MAPK1-1		HCC44
O06	2615	CHEK2	CHEK2-1	BRDN0000586287	HCC44
O07	2266	MAPK1	MAPK1-2		HCC44
O08	2109	CDK4	CDK4-2	BRDN0001053895	HCC44
O09	2339	BCL2L2	BCL2L2-4		HCC44
O10	2163	CDK4	CDK4-1	BRDN0001053869	HCC44
O11	2149	MCL1	MCL1-2		HCC44
O12	1533	BRD4	BRD4-2	BRDN0000733577	HCC44
O13	933	MYC	MYC-1		HCC44
O14	2016	BRD4	BRD4-1	BRDN0000733514	HCC44
O15	1038	MYC	MYC-2		HCC44
O16	2195	BRAF	BRAF-2	BRDN0000986702	HCC44
O17	2474	EMPTY	EMPTY		HCC44
O18	2360	BRAF1	BRAF1-1	BRDN0000986682	HCC44
O19	2543	EMPTY	EMPTY		HCC44
O20	2313	AKT1	AKT1-2	BRDN0001055115	HCC44
O21	2179	KRAS	KRAS-2B		HCC44
O22	2270	AKT1	AKT1-1	BRDN0001054908	HCC44
O23	2420	MCL1	MCL1-5		HCC44
O24	2452	EMPTY	EMPTY		HCC44
P01	2164	LacZ	LacZ-3	BRDN0000585800	HCC44
P02	2200	EMPTY	EMPTY		HCC44
P03	2548	LacZ	LacZ-3	BRDN0000585800	HCC44
P04	2415	PPIB	PPIB-1		HCC44
P05	2672	EMPTY	EMPTY		HCC44
P06	2643	EMPTY	EMPTY		HCC44
P07	2702	EMPTY	EMPTY		HCC44
P08	2703	EMPTY	EMPTY		HCC44
P09	2423	EMPTY	EMPTY		HCC44
P10	2366	Luc	Luc-2	BRDN0000585515	HCC44
P11	2245	EMPTY	EMPTY		HCC44
P12	2517	Luc	Luc-1	BRDN0000585635	HCC44
P13	2396	Chr2	Chr2-2		HCC44
P14	2569	EMPTY	EMPTY		HCC44
P15	2719	ORC4	ORC4-1		HCC44
P16	2487	EMPTY	EMPTY		HCC44
P17	2002	Chr2	Chr2-5		HCC44
P18	1387	PSMA1	PSMA1-1		HCC44
P19	924	PSMA1	PSMA1-2		HCC44
P20	2457	Chr2	Chr2-4		HCC44
P21	2370	EMPTY	EMPTY		HCC44
P22	874	POLR2D	POLR2D-2		HCC44
P23	1794	PPIB	PPIB-2		HCC44
P24	2088	Chr2	Chr2-1		HCC44
