Image_Metadata_Well	SQ00014616	gene_name	pert_name	broad_sample	cell_line
C03	2205	CTNNB1	CTNNB1-1	BRDN0001065286	HCC44
C04	2451	HIF1a	HIF1a-1		HCC44
C05	2484	CTNNB1	CTNNB1-2	BRDN0000579714	HCC44
C06	2526	GPX4	GPX4-2		HCC44
C07	2383	DOT1L	DOT1L-1	BRDN0001057300	HCC44
C08	2581	GPX4	GPX4-1		HCC44
C09	2539	DOT1L	DOT1L-2	BRDN0001057286	HCC44
C10	2164	GLS	GLS-2		HCC44
C11	2539	EGFR	EGFR-1	BRDN0001054960	HCC44
C12	2600	GLS	GLS-1		HCC44
C13	2188	EGFR	EGFR-2	BRDN0001054761	HCC44
C14	2475	EMPTY	EMPTY		HCC44
C15	2265	ERBB3	ERBB3-1	BRDN0001054818	HCC44
C16	2717	EMPTY	EMPTY		HCC44
C17	2470	ERBB3	ERBB3-2	BRDN0001054867	HCC44
C18	2150	ERBB2	ERBB2-2		HCC44
C19	1209	ITGAV	ITGAV-1	BRDN0001052092	HCC44
C20	2401	ERBB2	ERBB2-1		HCC44
C21	1036	ITGAV	ITGAV-2	BRDN0001052667	HCC44
C22	2037	EGLN1	EGLN1-9		HCC44
C23	2263	JAK3	JAK3-1	BRDN0001065886	HCC44
C24	2376	EGLN1	EGLN1-8		HCC44
D01	2042	Chr2	Chr2-1		HCC44
D02	1926	PPIB	PPIB-2		HCC44
D03	1182	POLR2D	POLR2D-2		HCC44
D04	2060	EMPTY	EMPTY		HCC44
D05	2242	Chr2	Chr2-4		HCC44
D06	1367	PSMA1	PSMA1-2		HCC44
D07	1592	PSMA1	PSMA1-1		HCC44
D08	2321	Chr2	Chr2-5		HCC44
D09	2500	PRDX1	PRDX1-1		HCC44
D10	2538	ORC4	ORC4-1		HCC44
D11	2289	PRDX1	PRDX1-2		HCC44
D12	2441	Chr2	Chr2-2		HCC44
D13	2310	Luc	Luc-1	BRDN0000585635	HCC44
D14	2463	YAP1	YAP1-2		HCC44
D15	2459	Luc	Luc-2	BRDN0000585515	HCC44
D16	2351	YAP1	YAP1-1		HCC44
D17	2310	EMPTY	EMPTY		HCC44
D18	2379	EMPTY	EMPTY		HCC44
D19	2283	EMPTY	EMPTY		HCC44
D20	2063	EMPTY	EMPTY		HCC44
D21	2446	PPIB	PPIB-1		HCC44
D22	2423	LacZ	LacZ-2	BRDN0000585793	HCC44
D23	2247	EMPTY	EMPTY		HCC44
D24	2393	LacZ	LacZ-2	BRDN0000585793	HCC44
E01	2354	JAK3	JAK3-2	BRDN0001065702	HCC44
E02	1928	COX5B	COX5B-2		HCC44
E03	786	KIF11	KIF11-1	BRDN0000734411	HCC44
E04	2586	COX5B	COX5B-1		HCC44
E05	540	KIF11	KIF11-2	BRDN0000734657	HCC44
E06	1329	CDK2	CDK2-2		HCC44
E07	2313	MTOR	MTOR-1	BRDN0000734637	HCC44
E08	1868	CDK2	CDK2-1		HCC44
E09	2643	MTOR	MTOR-2	BRDN0000734053	HCC44
E10	1897	CCNE1	CCNE1-2		HCC44
E11	2295	PIK3CA	PIK3CA-1	BRDN0001054759	HCC44
E12	1842	CCNE1	CCNE1-1		HCC44
E13	2458	PIK3CA	PIK3CA-2	BRDN0001054804	HCC44
E14	2226	CCND1	CCND1-2		HCC44
E15	2476	RAC1	RAC1-1	BRDN0001062183	HCC44
E16	2282	CCND1	CCND1-1		HCC44
E17	2622	RAC1	RAC1-2	BRDN0001062199	HCC44
E18	2220	BRCA1	BRCA1-2		HCC44
E19	2434	RHOA	RHOA-1	BRDN0000990371	HCC44
E20	2243	BRCA1	BRCA1-1		HCC44
E21	2457	RHOA	RHOA-2	BRDN0000990437	HCC44
E22	2195	BCL2L2	BCL2L2-2		HCC44
E23	2177	SDHB	SDHB-1	BRDN0000986589	HCC44
E24	2290	BCL2L2	BCL2L2-1		HCC44
F01	943	POLR2D	POLR2D-1		HCC44
F02	2608	EMPTY	EMPTY		HCC44
F03	1987	Chr2	Chr2-3		HCC44
F04	1823	PPIB	PPIB-2		HCC44
F05	2129	ORC4	ORC4-2		HCC44
F06	2217	Chr2	Chr2-6		HCC44
F07	2015	Chr2	Chr2-6		HCC44
F08	2461	ORC4	ORC4-2		HCC44
F09	2264	RAF1	RAF1-1		HCC44
F10	1832	Chr2	Chr2-3		HCC44
F11	2427	RAF1	RAF1-2		HCC44
F12	889	POLR2D	POLR2D-1		HCC44
F13	2095	Chr2	Chr2-1		HCC44
F14	2448	XBP	XBP-2		HCC44
F15	900	POLR2D	POLR2D-2		HCC44
F16	2406	XBP	XBP-1		HCC44
F17	2365	Chr2	Chr2-4		HCC44
F18	942	PSMA1	PSMA1-2		HCC44
F19	1108	PSMA1	PSMA1-1		HCC44
F20	2099	Chr2	Chr2-5		HCC44
F21	2411	EMPTY	EMPTY		HCC44
F22	2156	ORC4	ORC4-1		HCC44
F23	2522	PPIB	PPIB-1		HCC44
F24	2153	Chr2	Chr2-2		HCC44
G01	1818	SDHB	SDHB-2	BRDN0000986593	HCC44
G02	2181	BCL2	BCL2-2		HCC44
G03	1856	SMARCB1	SMARCB1-1	BRDN0001062203	HCC44
G04	2451	BCL2	BCL2-1		HCC44
G05	2428	SMARCB1	SMARCB1-2	BRDN0001062218	HCC44
G06	2101	AURKB	AURKB-2		HCC44
G07	2578	STAT3	STAT3-1	BRDN0001063739	HCC44
G08	1834	CDK4	CDK4-3		HCC44
G09	2245	STAT3	STAT3-2	BRDN0000579974	HCC44
G10	1671	ATP50	ATP50-2		HCC44
G11	2193	SUZ12	SUZ12-1	BRDN0001057351	HCC44
G12	2228	ATP50	ATP50-1		HCC44
G13	2139	SUZ12	SUZ12-2	BRDN0001057661	HCC44
G14	2155	ATF4	ATF4-2		HCC44
G15	2530	EZH2	EZH2-1	BRDN0000733051	HCC44
G16	1834	ATF4	ATF4-1		HCC44
G17	2338	EZH2	EZH2-2	BRDN0000733144	HCC44
G18	2149	ARID1B	ARID1B-2		HCC44
G19	2387	PTK2	PTK2-1	BRDN0000990543	HCC44
G20	2271	ARID1B	ARID1B-1		HCC44
G21	2281	PTK2	PTK2-2	BRDN0000990405	HCC44
G22	2296	EMPTY	EMPTY		HCC44
G23	2141	EMPTY	EMPTY		HCC44
G24	2544	EMPTY	EMPTY		HCC44
H01	876	POLR2D	POLR2D-1		HCC44
H02	1231	EMPTY	EMPTY		HCC44
H03	1863	Chr2	Chr2-3		HCC44
H04	1930	PPIB	PPIB-2		HCC44
H05	2251	ORC4	ORC4-2		HCC44
H06	2330	Chr2	Chr2-6		HCC44
H07	1748	Chr2	Chr2-6		HCC44
H08	2372	ORC4	ORC4-2		HCC44
H09	2102	SLC2A1	SLC2A1-1		HCC44
H10	2098	Chr2	Chr2-3		HCC44
H11	2245	SLC2A2	SLC2A2-2		HCC44
H12	642	POLR2D	POLR2D-1		HCC44
H13	2086	Chr2	Chr2-1		HCC44
H14	2374	TXN	TXN-2		HCC44
H15	708	POLR2D	POLR2D-2		HCC44
H16	2315	TXN	TXN-1		HCC44
H17	2083	Chr2	Chr2-4		HCC44
H18	780	PSMA1	PSMA1-2		HCC44
H19	939	PSMA1	PSMA1-1		HCC44
H20	2029	Chr2	Chr2-5		HCC44
H21	977	EMPTY	EMPTY		HCC44
H22	1976	ORC4	ORC4-1		HCC44
H23	2274	PPIB	PPIB-1		HCC44
H24	2124	Chr2	Chr2-2		HCC44
I01	2322	EMPTY	EMPTY		HCC44
I02	2202	EMPTY	EMPTY		HCC44
I03	2411	EMPTY	EMPTY		HCC44
I04	2323	PTK2	PTK2-2	BRDN0000990405	HCC44
I05	2512	ARID1B	ARID1B-1		HCC44
I06	2351	PTK2	PTK2-1	BRDN0000990543	HCC44
I07	2387	ARID1B	ARID1B-2		HCC44
I08	2056	EZH2	EZH2-2	BRDN0000733144	HCC44
I09	1891	ATF4	ATF4-1		HCC44
I10	2601	EZH2	EZH2-1	BRDN0000733051	HCC44
I11	2501	ATF4	ATF4-2		HCC44
I12	2202	SUZ12	SUZ12-2	BRDN0001057661	HCC44
I13	2317	ATP50	ATP50-1		HCC44
I14	2416	SUZ12	SUZ12-1	BRDN0001057351	HCC44
I15	2082	ATP50	ATP50-2		HCC44
I16	2468	STAT3	STAT3-2	BRDN0000579974	HCC44
I17	2243	CDK4	CDK4-3		HCC44
I18	2280	STAT3	STAT3-1	BRDN0001063739	HCC44
I19	1939	AURKB	AURKB-2		HCC44
I20	2166	SMARCB1	SMARCB1-2	BRDN0001062218	HCC44
I21	2348	BCL2	BCL2-1		HCC44
I22	1506	SMARCB1	SMARCB1-1	BRDN0001062203	HCC44
I23	2429	BCL2	BCL2-2		HCC44
I24	1954	SDHB	SDHB-2	BRDN0000986593	HCC44
J01	2325	Chr2	Chr2-2		HCC44
J02	2130	PPIB	PPIB-1		HCC44
J03	2586	ORC4	ORC4-1		HCC44
J04	2440	EMPTY	EMPTY		HCC44
J05	2220	Chr2	Chr2-5		HCC44
J06	965	PSMA1	PSMA1-1		HCC44
J07	1131	PSMA1	PSMA1-2		HCC44
J08	2981	Chr2	Chr2-4		HCC44
J09	2216	TXN	TXN-1		HCC44
J10	695	POLR2D	POLR2D-2		HCC44
J11	2076	TXN	TXN-2		HCC44
J12	2159	Chr2	Chr2-1		HCC44
J13	946	POLR2D	POLR2D-1		HCC44
J14	2597	SLC2A2	SLC2A2-2		HCC44
J15	2108	Chr2	Chr2-3		HCC44
J16	2055	SLC2A1	SLC2A1-1		HCC44
J17	2341	ORC4	ORC4-2		HCC44
J18	2316	Chr2	Chr2-6		HCC44
J19	2211	Chr2	Chr2-6		HCC44
J20	2375	ORC4	ORC4-2		HCC44
J21	1989	PPIB	PPIB-2		HCC44
J22	1971	Chr2	Chr2-3		HCC44
J23	2146	EMPTY	EMPTY		HCC44
J24	871	POLR2D	POLR2D-1		HCC44
K01	2121	BCL2L2	BCL2L2-1		HCC44
K02	1894	SDHB	SDHB-1	BRDN0000986589	HCC44
K03	2608	BCL2L2	BCL2L2-2		HCC44
K04	2477	RHOA	RHOA-2	BRDN0000990437	HCC44
K05	2450	BRCA1	BRCA1-1		HCC44
K06	2441	RHOA	RHOA-1	BRDN0000990371	HCC44
K07	2251	BRCA1	BRCA1-2		HCC44
K08	2318	RAC1	RAC1-2	BRDN0001062199	HCC44
K09	2463	CCND1	CCND1-1		HCC44
K10	2669	RAC1	RAC1-1	BRDN0001062183	HCC44
K11	2232	CCND1	CCND1-2		HCC44
K12	2354	PIK3CA	PIK3CA-2	BRDN0001054804	HCC44
K13	1983	CCNE1	CCNE1-1		HCC44
K14	2214	PIK3CA	PIK3CA-1	BRDN0001054759	HCC44
K15	2180	CCNE1	CCNE1-2		HCC44
K16	2057	MTOR	MTOR-2	BRDN0000734053	HCC44
K17	1782	CDK2	CDK2-1		HCC44
K18	1961	MTOR	MTOR-1	BRDN0000734637	HCC44
K19	1102	CDK2	CDK2-2		HCC44
K20	379	KIF11	KIF11-2	BRDN0000734657	HCC44
K21	2341	COX5B	COX5B-1		HCC44
K22	401	KIF11	KIF11-1	BRDN0000734411	HCC44
K23	2057	COX5B	COX5B-2		HCC44
K24	2252	JAK3	JAK3-2	BRDN0001065702	HCC44
L01	2042	Chr2	Chr2-2		HCC44
L02	2516	PPIB	PPIB-1		HCC44
L03	2012	ORC4	ORC4-1		HCC44
L04	2178	EMPTY	EMPTY		HCC44
L05	2122	Chr2	Chr2-5		HCC44
L06	1013	PSMA1	PSMA1-1		HCC44
L07	1105	PSMA1	PSMA1-2		HCC44
L08	2309	Chr2	Chr2-4		HCC44
L09	2200	XBP	XBP-1		HCC44
L10	926	POLR2D	POLR2D-2		HCC44
L11	2348	XBP	XBP-2		HCC44
L12	2091	Chr2	Chr2-1		HCC44
L13	654	POLR2D	POLR2D-1		HCC44
L14	2058	RAF1	RAF1-2		HCC44
L15	2103	Chr2	Chr2-3		HCC44
L16	2128	RAF1	RAF1-1		HCC44
L17	2410	ORC4	ORC4-2		HCC44
L18	2142	Chr2	Chr2-6		HCC44
L19	2349	Chr2	Chr2-6		HCC44
L20	2332	ORC4	ORC4-2		HCC44
L21	2027	PPIB	PPIB-2		HCC44
L22	2155	Chr2	Chr2-3		HCC44
L23	2126	EMPTY	EMPTY		HCC44
L24	980	POLR2D	POLR2D-1		HCC44
M01	1891	EGLN1	EGLN1-8		HCC44
M02	2318	JAK3	JAK3-1	BRDN0001065886	HCC44
M03	1998	EGLN1	EGLN1-9		HCC44
M04	1086	ITGAV	ITGAV-2	BRDN0001052667	HCC44
M05	2462	ERBB2	ERBB2-1		HCC44
M06	1187	ITGAV	ITGAV-1	BRDN0001052092	HCC44
M07	2125	ERBB2	ERBB2-2		HCC44
M08	2294	ERBB3	ERBB3-2	BRDN0001054867	HCC44
M09	2613	EMPTY	EMPTY		HCC44
M10	2327	ERBB3	ERBB3-1	BRDN0001054818	HCC44
M11	2350	EMPTY	EMPTY		HCC44
M12	2310	EGFR	EGFR-2	BRDN0001054761	HCC44
M13	2323	GLS	GLS-1		HCC44
M14	2266	EGFR	EGFR-1	BRDN0001054960	HCC44
M15	2451	GLS	GLS-2		HCC44
M16	2432	DOT1L	DOT1L-2	BRDN0001057286	HCC44
M17	2564	GPX4	GPX4-1		HCC44
M18	2539	DOT1L	DOT1L-1	BRDN0001057300	HCC44
M19	2517	GPX4	GPX4-2		HCC44
M20	2316	CTNNB1	CTNNB1-2	BRDN0000579714	HCC44
M21	2231	HIF1a	HIF1a-1		HCC44
M22	1979	CTNNB1	CTNNB1-1	BRDN0001065286	HCC44
M23	2334	HIF1a	HIF1a-2		HCC44
M24	2361	CSNK1A1	CSNK1A1-2	BRDN0000585480	HCC44
N01	2281	LacZ	LacZ-2	BRDN0000585793	HCC44
N02	2435	EMPTY	EMPTY		HCC44
N03	2396	LacZ	LacZ-2	BRDN0000585793	HCC44
N04	2253	PPIB	PPIB-1		HCC44
N05	2166	EMPTY	EMPTY		HCC44
N06	2281	EMPTY	EMPTY		HCC44
N07	2558	EMPTY	EMPTY		HCC44
N08	2489	EMPTY	EMPTY		HCC44
N09	2223	YAP1	YAP1-1		HCC44
N10	2368	Luc	Luc-2	BRDN0000585515	HCC44
N11	2270	YAP1	YAP1-2		HCC44
N12	2566	Luc	Luc-1	BRDN0000585635	HCC44
N13	2302	Chr2	Chr2-2		HCC44
N14	2154	PRDX1	PRDX1-2		HCC44
N15	2354	ORC4	ORC4-1		HCC44
N16	2318	PRDX1	PRDX1-1		HCC44
N17	2096	Chr2	Chr2-5		HCC44
N18	1052	PSMA1	PSMA1-1		HCC44
N19	781	PSMA1	PSMA1-2		HCC44
N20	2374	Chr2	Chr2-4		HCC44
N21	2229	EMPTY	EMPTY		HCC44
N22	856	POLR2D	POLR2D-2		HCC44
N23	2112	PPIB	PPIB-2		HCC44
N24	2154	Chr2	Chr2-1		HCC44
O01	1798	KRAS	KRAS-1		HCC44
O02	2247	CSNK1A1	CSNK1A1-1	BRDN0001065659	HCC44
O03	1867	KRAS	KRAS-2A		HCC44
O04	2373	CHEK2	CHEK2-2	BRDN0000585854	HCC44
O05	2268	MAPK1	MAPK1-1		HCC44
O06	2036	CHEK2	CHEK2-1	BRDN0000586287	HCC44
O07	1998	MAPK1	MAPK1-2		HCC44
O08	2165	CDK4	CDK4-2	BRDN0001053895	HCC44
O09	2154	BCL2L2	BCL2L2-4		HCC44
O10	2007	CDK4	CDK4-1	BRDN0001053869	HCC44
O11	2144	MCL1	MCL1-2		HCC44
O12	1963	BRD4	BRD4-2	BRDN0000733577	HCC44
O13	806	MYC	MYC-1		HCC44
O14	2155	BRD4	BRD4-1	BRDN0000733514	HCC44
O15	1092	MYC	MYC-2		HCC44
O16	2236	BRAF	BRAF-2	BRDN0000986702	HCC44
O17	2529	EMPTY	EMPTY		HCC44
O18	2120	BRAF1	BRAF1-1	BRDN0000986682	HCC44
O19	2480	EMPTY	EMPTY		HCC44
O20	2141	AKT1	AKT1-2	BRDN0001055115	HCC44
O21	2370	KRAS	KRAS-2B		HCC44
O22	2105	AKT1	AKT1-1	BRDN0001054908	HCC44
O23	2251	MCL1	MCL1-5		HCC44
O24	2273	EMPTY	EMPTY		HCC44
P01	2092	LacZ	LacZ-3	BRDN0000585800	HCC44
P02	2217	EMPTY	EMPTY		HCC44
P03	2253	LacZ	LacZ-3	BRDN0000585800	HCC44
P04	2579	PPIB	PPIB-1		HCC44
P05	2388	EMPTY	EMPTY		HCC44
P06	2355	EMPTY	EMPTY		HCC44
P07	2567	EMPTY	EMPTY		HCC44
P08	2335	EMPTY	EMPTY		HCC44
P09	2475	EMPTY	EMPTY		HCC44
P10	2378	Luc	Luc-2	BRDN0000585515	HCC44
P11	2180	EMPTY	EMPTY		HCC44
P12	2387	Luc	Luc-1	BRDN0000585635	HCC44
P13	2005	Chr2	Chr2-2		HCC44
P14	2418	EMPTY	EMPTY		HCC44
P15	2332	ORC4	ORC4-1		HCC44
P16	2241	EMPTY	EMPTY		HCC44
P17	2218	Chr2	Chr2-5		HCC44
P18	1466	PSMA1	PSMA1-1		HCC44
P19	881	PSMA1	PSMA1-2		HCC44
P20	2450	Chr2	Chr2-4		HCC44
P21	1804	EMPTY	EMPTY		HCC44
P22	963	POLR2D	POLR2D-2		HCC44
P23	2146	PPIB	PPIB-2		HCC44
P24	2271	Chr2	Chr2-1		HCC44
