metric	target	original_name	readable_name	feature_type	measurement	assay	description	shuffle_false	shuffle_true
r_two	cc_cc_mitosis	CC - pH3 positive, Hoechst condenced (mitosis) - Mean per ...	CC - % M	cell_cycle	mitosis	hoechst_edu_ph3	Fraction of cells in mitosis (pH3 positive, Hoechst condensed)	0.24433476336308657	-8.478450223987632e-4
r_two	vb_ros_back_mean	ROS-back Mean	ROS-back	viability	ros	cell_rox	CellROX background	0.21878184428059533	-0.0064570825801204546
r_two	cc_cc_early_mitosis	CC - G2+pH3 (Early mitiosis) - Mean per Well	CC - % early M	cell_cycle	early_mitosis	hoechst_edu_ph3	Fraction of G2/M cells (Hoechst + EdU)	0.10436202472349376	-0.05930235567871267
r_two	cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	Large round (polyploid) - Number of Spots per Area of Nucleus - Mean per Well	Polyploid - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	In polyploid cells: average number of gH2Ax spots per nucleus area	0.10313930514784397	-0.018620390104885587
r_two	cc_g2_plus_all_m_count	G2 + All M-phase	Cell Count - G2 + M	cell_cycle	cell_cycle_count	hoechst_edu_ph3	G2+M	0.08036570018755529	-0.39206230767956485
r_two	cc_polyploid_high_h2ax	Large round (polyploid) - High number of spots gH2AX - Mean per Well	Polyploid - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polyploid cells: fraction of >3 gH2Ax spots	0.06471049017492014	-0.17170953526654031
r_two	cc_g1_n_spots_h2ax_per_nucleus_area_mean	G1 - Number of Spots per Area of Nucleus - Mean per Well	G1 - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G1 cells: average number of gH2Ax spots per nucleus area	0.06177565201159929	-0.27515916481794633
r_two	vb_percent_early_apoptosis	% Early Apop	% Early Apoptosis (CASP+; DRAQ7-)	viability	apoptosis	draq_caspase	Fraction of caspase positive in live cells (no DRAQ7)	0.06117118359984297	-0.03325318535713273
r_two	cc_g2_n_objects	G2-pH3 - Number of Objects	G2 - # cells	cell_cycle	g2_phase	hoechst_edu_ph3	Number of G2 cells	0.04110594651353261	-0.04720508314862215
r_two	cc_all_large_notround_polynuclear_mean	ALL - large not round (polynuclear) - Mean per Well	ALL - Polynuclear	cell_cycle	shape	hoechst	Fraction of cells with large non-round nuclei (Polynuclear)	0.03228112230953761	-0.12791865307443828
r_two	cc_cc_g2	CC - G2-pH3 - Mean per Well	CC - % G2	cell_cycle	g2_phase	hoechst_edu_ph3	Fraction of G2 cells (Hoechst - EdU)	0.031156301755413618	-0.23510013844474753
r_two	cc_cc_n_spots_h2ax_mean	CC - Number of Spots - Mean per Well	CC - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	Within cells selected for cell cycle: average number of gH2AX spots	0.019955067426869033	-0.6458410248447111
r_two	cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	pH3 neg, Hoechst cond (late mitosis) - Number of Spots per Area of Nucleus - ...	Late M - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In late M cells: average number of gH2Ax spots per nucleus area	0.010273113203765671	-0.0804578728726062
r_two	cc_polynuclear_high_h2ax	large not round (polynuclear) - High number of spots gH2AX - Mean per Well	Polynuclear - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polynuclear cells: fraction of >3 gH2Ax spots	0.008598800211744084	-0.021624053959280687
r_two	cc_late_mitosis_high_h2ax	pH3 neg, Hoechst cond (late mitosis) - High number of spots gH2AX - Mean per ...	Late M - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In late M cells: fraction of >3 gH2Ax spots	0	0
r_two	cc_mitosis_high_h2ax	pH3 positive, Hoechst condenced (mitosis) - High number of spots gH2AX - Mean...	M - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In M cells: fraction of >3 gH2Ax spots	0	0
r_two	cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	pH3 positive, Hoechst condenced (mitosis) - Number of Spots per Area of Nucle...	M - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In M cells: average number of gH2Ax spots per nucleus area	-0.009727421210704135	0.00967100446440472
r_two	cc_late_mitosis_n_spots_h2ax_mean	pH3 neg, Hoechst cond (late mitosis) - Number of Spots - Mean per Well	Late M - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In late M cells: average number of gH2Ax spots	-0.033120434391530784	-0.015514982778405795
r_two	cc_g1_high_h2ax	G1 - High number of spots gH2AX - Mean per Well	G1 - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G1 cells: fraction of >3 gH2Ax spots	-0.039594391848453814	-0.4089047943200974
r_two	cc_mitosis_n_spots_h2ax_mean	pH3 positive, Hoechst condenced (mitosis) - Number of Spots - Mean per Well	M - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In M cells: average number of gH2Ax spots	-0.04974979683792391	0.043438571554608285
r_two	cc_all_nucleus_roundness_mean	ALL - Nucleus Roundness - Mean per Well	ALL - Nucleus Roundness	cell_cycle	shape	hoechst	Average nucleus roundness	-0.08827823138935487	-0.030997994065252055
r_two	cc_g2_g1_count	G2/G1	Cell Count - G2/G1	cell_cycle	cell_cycle_count	hoechst_edu_ph3	G2/G1	-0.10292506917895516	-0.2933101805996725
r_two	cc_infection_percentage	Inf %	Inf %	metadata	metadata	qc	Infection Efficiency in Cell Cycle Assay	-0.10668571333618115	-0.09924400833441882
r_two	vb_infection_percentage	% Inf	% Inf	metadata	metadata	qc	Infection Efficiency in Viability Assay	-0.10668571333618115	-0.09924400833441882
r_two	cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	G2+pH3 (Early mitiosis) - Number of Spots per Area of Nucleus - Mean per Well	early M - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In early M cells: average number of gH2Ax spots per nucleus area	-0.1498603715604967	-0.14177581692285202
r_two	vb_percent_caspase_dead_only	% Caspase/%Dead Only	% Caspase / % Dead Only	viability	apoptosis	draq_caspase	This is only calculated for strong hits	-0.22707021767768842	-0.00549644725008025
r_two	cc_cc_n_spots_h2ax_per_nucleus_area_mean	CC - Number of Spots per Area of Nucleus - Mean per Well	CC - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	Within cells selected for cell cycle: average number of gH2AX spots per area of nucleus	-0.23540423291214974	-0.3184604855616857
r_two	cc_all_n_spots_h2ax_mean	ALL - Number of Spots - Mean per Well	ALL - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	Within all cells: average number of gH2AX spots per nucleus	-0.2524980567803532	-0.03330985288175414
r_two	cc_polyploid_n_spots_h2ax_mean	Large round (polyploid) - Number of Spots - Mean per Well	Polyploid - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polyploid cells: average number of gH2Ax spots	-0.27864214208563287	-0.0960537353664217
r_two	cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	large not round (polynuclear) - Number of Spots per Area of Nucleus - Mean pe...	Polynuclear - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	In polynuclear cells: average number of gH2Ax spots per nucleus area	-0.3303240612197045	-0.21069616756512488
r_two	cc_early_mitosis_n_objects	G2+pH3 (Early mitiosis) - Number of Objects	early M - # cells	cell_cycle	early_mitosis	hoechst_edu_ph3	Number of early M cells	-0.334554845559903	-0.02409121884173726
r_two	cc_early_mitosis_n_spots_h2ax_mean	G2+pH3 (Early mitiosis) - Number of Spots - Mean per Well	early M - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In early M cells: average number of gH2Ax spots	-0.3429796194399779	-0.3067218071374682
r_two	cc_polynuclear_n_spots_h2ax_mean	large not round (polynuclear) - Number of Spots - Mean per Well	Polynuclear - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polynuclear cells: average number of gH2Ax spots	-0.42022001098554695	-0.3213991165710226
r_two	cc_late_mitosis_n_objects	pH3 neg, Hoechst cond (late mitosis) - Number of Objects	Late M - # cells	cell_cycle	late_mitosis	hoechst_edu_ph3_gh2ax	Number of late M cells	-0.4319037172771092	-0.27898907912314264
r_two	cc_polyploid_n_objects	Large round (polyploid) - Number of Objects	Polyploid - # cells	cell_cycle	shape	hoechst	Number of late polyploid cells	-0.45638584625089207	-0.022962805382210183
r_two	cc_all_n_spots_h2ax_per_nucleus_area_mean	ALL - Number of Spots per Area of Nucleus - Mean per Well	ALL - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	Within all cells: average number of gH2AX spots per area of nucleus	-0.6186969519844185	-0.2693144613993841
r_two	cc_early_mitosis_high_h2ax	G2+pH3 (Early mitiosis) - High number of spots gH2AX - Mean per Well	early M - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In early M cells: fraction of >3 gH2Ax spots	-0.9223391616434204	-0.11779576882883669
r_two	cc_s_n_spots_h2ax_per_nucleus_area_mean	edu positive - Number of Spots per Area of Nucleus - Mean per Well	S - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_gh2ax	In S phase cells: average number of gH2Ax spots per nucleus area	-1.0761089816126201	-0.7356483059256944
r_two	cc_s_n_spots_h2ax_mean	edu positive - Number of Spots - Mean per Well	S - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_gh2ax	In S phase cells: average number of gH2Ax spots	-1.3228914065214679	-0.14833703013802912
r_two	cc_g2_n_spots_h2ax_per_nucleus_area_mean	G2-pH3 - Number of Spots per Area of Nucleus - Mean per Well	G2 - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G2 cells: average number of gH2Ax spots per nucleus area	-1.4373631916676621	-0.9648745324733743
r_two	cc_g2_n_spots_h2ax_mean	G2-pH3 - Number of Spots - Mean per Well	G2 - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G2 cells: average number of gH2Ax spots	-1.483273463724292	-0.7258440449356025
r_two	cc_all_high_h2ax	ALL - High number of spots gH2AX - Mean per Well	ALL - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	Within all cells: fraction of cells containing more than 3 gH2AX spots	-2.0558700163775034	-0.6940817318581947
r_two	cc_cc_high_h2ax	CC - High number of spots gH2AX - Mean per Well	CC - % High gH2AX spots	cell_cycle	dna_damage	hoechst_gh2ax	Within cells selected for cell cycle: fraction of cells containing more than 3 gH2AX spots	-2.458635983530333	-1.5106493104928376
r_two	cc_cc_late_mitosis	CC - pH3 neg, Hoechst cond (late mitosis) - Mean per Well	CC - % Late M	cell_cycle	late_mitosis	hoechst_edu_ph3	Fraction of cells in late mitosis (pH3 negative, Hoechst condensed)	-2.7440152028261937	-0.3610196181027181
r_two	cc_g2_high_h2ax	G2-pH3 - High number of spots gH2AX - Mean per Well	G2 - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G2 cells: fraction of >3 gH2Ax spots	-3.46843725582917	-3.077817032099123
r_two	cc_all_large_round_polyploid_mean	ALL - Large round (polyploid) - Mean per Well	ALL - Polyploid	cell_cycle	shape	hoechst	Large and round cells (Polyploid)	-4.814327355974566	-0.33608013756661737
r_two	cc_s_high_h2ax	edu positive - High number of spots gH2AX - Mean per Well	S - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_gh2ax	In S phase cells: fraction of >3 gH2Ax spots	-9.1935340668557	-7.256408220446552
