metric	target	original_name	readable_name	feature_type	measurement	assay	description	shuffle_false	shuffle_true
r_two	vb_ros_back_mean	ROS-back Mean	ROS-back	viability	ros	cell_rox	CellROX background	0.2631000124308944	-0.010186245721236276
r_two	cc_cc_mitosis	CC - pH3 positive, Hoechst condenced (mitosis) - Mean per ...	CC - % M	cell_cycle	mitosis	hoechst_edu_ph3	Fraction of cells in mitosis (pH3 positive, Hoechst condensed)	0.2508841045627722	-0.0037040313211393894
r_two	cc_g1_n_spots_h2ax_mean	G1 - Number of Spots - Mean per Well	G1 - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G1 cells: average number of gH2Ax spots	0.2301704867943435	-0.20882232663451084
r_two	cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	Large round (polyploid) - Number of Spots per Area of Nucleus - Mean per Well	Polyploid - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	In polyploid cells: average number of gH2Ax spots per nucleus area	0.12639922990437324	0.05359912451246596
r_two	cc_g1_n_spots_h2ax_per_nucleus_area_mean	G1 - Number of Spots per Area of Nucleus - Mean per Well	G1 - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G1 cells: average number of gH2Ax spots per nucleus area	0.1233452748017444	-0.16030827924184332
r_two	cc_cc_early_mitosis	CC - G2+pH3 (Early mitiosis) - Mean per Well	CC - % early M	cell_cycle	early_mitosis	hoechst_edu_ph3	Fraction of G2/M cells (Hoechst + EdU)	0.10917773062807778	-0.08053613540144178
r_two	cc_g2_n_objects	G2-pH3 - Number of Objects	G2 - # cells	cell_cycle	g2_phase	hoechst_edu_ph3	Number of G2 cells	0.05702872357209521	-0.0511720424388189
r_two	cc_polyploid_high_h2ax	Large round (polyploid) - High number of spots gH2AX - Mean per Well	Polyploid - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polyploid cells: fraction of >3 gH2Ax spots	0.02101281462007165	-0.14541542409207087
r_two	vb_percent_early_apoptosis	% Early Apop	% Early Apoptosis (CASP+; DRAQ7-)	viability	apoptosis	draq_caspase	Fraction of caspase positive in live cells (no DRAQ7)	0.017746179157024145	-0.03915295519390427
r_two	cc_cc_g2	CC - G2-pH3 - Mean per Well	CC - % G2	cell_cycle	g2_phase	hoechst_edu_ph3	Fraction of G2 cells (Hoechst - EdU)	0.01199466812663319	-0.17885329552783813
r_two	cc_late_mitosis_high_h2ax	pH3 neg, Hoechst cond (late mitosis) - High number of spots gH2AX - Mean per ...	Late M - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In late M cells: fraction of >3 gH2Ax spots	0	0
r_two	cc_mitosis_high_h2ax	pH3 positive, Hoechst condenced (mitosis) - High number of spots gH2AX - Mean...	M - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In M cells: fraction of >3 gH2Ax spots	0	0
r_two	cc_g1_high_h2ax	G1 - High number of spots gH2AX - Mean per Well	G1 - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G1 cells: fraction of >3 gH2Ax spots	-0.009307050779140846	-0.34260402248261124
r_two	cc_late_mitosis_n_spots_h2ax_mean	pH3 neg, Hoechst cond (late mitosis) - Number of Spots - Mean per Well	Late M - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In late M cells: average number of gH2Ax spots	-0.04673755578406813	-0.04009139845288767
r_two	cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	pH3 positive, Hoechst condenced (mitosis) - Number of Spots per Area of Nucle...	M - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In M cells: average number of gH2Ax spots per nucleus area	-0.05265484621412719	-0.015963879038202178
r_two	cc_g2_g1_count	G2/G1	Cell Count - G2/G1	cell_cycle	cell_cycle_count	hoechst_edu_ph3	G2/G1	-0.06060734120309319	-0.2651960337092685
r_two	cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	pH3 neg, Hoechst cond (late mitosis) - Number of Spots per Area of Nucleus - ...	Late M - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In late M cells: average number of gH2Ax spots per nucleus area	-0.06669047803767802	-0.12589685522944816
r_two	cc_infection_percentage	Inf %	Inf %	metadata	metadata	qc	Infection Efficiency in Cell Cycle Assay	-0.07175303607749539	-0.09722170118921958
r_two	vb_infection_percentage	% Inf	% Inf	metadata	metadata	qc	Infection Efficiency in Viability Assay	-0.07175303607749539	-0.23949356347349093
r_two	cc_polynuclear_high_h2ax	large not round (polynuclear) - High number of spots gH2AX - Mean per Well	Polynuclear - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polynuclear cells: fraction of >3 gH2Ax spots	-0.08070902209716824	-0.07472177652319156
r_two	cc_all_large_notround_polynuclear_mean	ALL - large not round (polynuclear) - Mean per Well	ALL - Polynuclear	cell_cycle	shape	hoechst	Fraction of cells with large non-round nuclei (Polynuclear)	-0.09152039976727311	-0.11899667602106567
r_two	cc_cc_n_spots_h2ax_mean	CC - Number of Spots - Mean per Well	CC - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	Within cells selected for cell cycle: average number of gH2AX spots	-0.10777471614421419	-0.14248904881870073
r_two	cc_all_nucleus_roundness_mean	ALL - Nucleus Roundness - Mean per Well	ALL - Nucleus Roundness	cell_cycle	shape	hoechst	Average nucleus roundness	-0.11127614648332385	0.12749446696363675
r_two	cc_early_mitosis_high_h2ax	G2+pH3 (Early mitiosis) - High number of spots gH2AX - Mean per Well	early M - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In early M cells: fraction of >3 gH2Ax spots	-0.12391290649008879	-0.1488443830297672
r_two	cc_g2_plus_all_m_count	G2 + All M-phase	Cell Count - G2 + M	cell_cycle	cell_cycle_count	hoechst_edu_ph3	G2+M	-0.1326593339830342	-0.3990952284891476
r_two	cc_polyploid_n_spots_h2ax_mean	Large round (polyploid) - Number of Spots - Mean per Well	Polyploid - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polyploid cells: average number of gH2Ax spots	-0.14147600281865547	-0.058537518975476655
r_two	cc_mitosis_n_spots_h2ax_mean	pH3 positive, Hoechst condenced (mitosis) - Number of Spots - Mean per Well	M - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In M cells: average number of gH2Ax spots	-0.1440456334542044	-0.0024823284716137817
r_two	vb_percent_caspase_dead_only	% Caspase/%Dead Only	% Caspase / % Dead Only	viability	apoptosis	draq_caspase	This is only calculated for strong hits	-0.15351466531197677	-0.15205433101152166
r_two	cc_late_mitosis_n_objects	pH3 neg, Hoechst cond (late mitosis) - Number of Objects	Late M - # cells	cell_cycle	late_mitosis	hoechst_edu_ph3_gh2ax	Number of late M cells	-0.17841993859220784	-0.10993396490052665
r_two	cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	G2+pH3 (Early mitiosis) - Number of Spots per Area of Nucleus - Mean per Well	early M - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In early M cells: average number of gH2Ax spots per nucleus area	-0.18485117955664498	-0.16224853250383187
r_two	cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	large not round (polynuclear) - Number of Spots per Area of Nucleus - Mean pe...	Polynuclear - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	In polynuclear cells: average number of gH2Ax spots per nucleus area	-0.19554017409905589	-0.10178433502577366
r_two	cc_polynuclear_n_spots_h2ax_mean	large not round (polynuclear) - Number of Spots - Mean per Well	Polynuclear - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	In polynuclear cells: average number of gH2Ax spots	-0.2497560919632158	-0.18846112406035886
r_two	cc_all_n_spots_h2ax_mean	ALL - Number of Spots - Mean per Well	ALL - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	Within all cells: average number of gH2AX spots per nucleus	-0.26141921144947733	-0.19977489287891315
r_two	cc_early_mitosis_n_spots_h2ax_mean	G2+pH3 (Early mitiosis) - Number of Spots - Mean per Well	early M - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In early M cells: average number of gH2Ax spots	-0.28953856368104924	-0.2470824001977523
r_two	cc_cc_n_spots_h2ax_per_nucleus_area_mean	CC - Number of Spots per Area of Nucleus - Mean per Well	CC - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	Within cells selected for cell cycle: average number of gH2AX spots per area of nucleus	-0.3516324853925108	-0.3161705263080101
r_two	cc_polyploid_n_objects	Large round (polyploid) - Number of Objects	Polyploid - # cells	cell_cycle	shape	hoechst	Number of late polyploid cells	-0.41475743163515033	-0.0553187983064507
r_two	cc_all_n_spots_h2ax_per_nucleus_area_mean	ALL - Number of Spots per Area of Nucleus - Mean per Well	ALL - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_gh2ax	Within all cells: average number of gH2AX spots per area of nucleus	-0.5693758476958797	-0.15264354208048037
r_two	cc_s_n_spots_h2ax_per_nucleus_area_mean	edu positive - Number of Spots per Area of Nucleus - Mean per Well	S - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_gh2ax	In S phase cells: average number of gH2Ax spots per nucleus area	-0.6823369005627231	-0.5120421986018742
r_two	cc_s_n_spots_h2ax_mean	edu positive - Number of Spots - Mean per Well	S - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_gh2ax	In S phase cells: average number of gH2Ax spots	-1.110064740548347	-0.34481663422901354
r_two	cc_g2_n_spots_h2ax_per_nucleus_area_mean	G2-pH3 - Number of Spots per Area of Nucleus - Mean per Well	G2 - # of gH2AX Spots per Area of Nucleus	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G2 cells: average number of gH2Ax spots per nucleus area	-1.7231738944790318	-1.0703425083858855
r_two	cc_g2_n_spots_h2ax_mean	G2-pH3 - Number of Spots - Mean per Well	G2 - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G2 cells: average number of gH2Ax spots	-1.730578832187919	-0.942711261915214
r_two	cc_cc_late_mitosis	CC - pH3 neg, Hoechst cond (late mitosis) - Mean per Well	CC - % Late M	cell_cycle	late_mitosis	hoechst_edu_ph3	Fraction of cells in late mitosis (pH3 negative, Hoechst condensed)	-2.5869929151137336	-0.5209550744993647
r_two	cc_g2_high_h2ax	G2-pH3 - High number of spots gH2AX - Mean per Well	G2 - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G2 cells: fraction of >3 gH2Ax spots	-3.929389814618869	-1.5754365737546627
r_two	cc_cc_high_h2ax	CC - High number of spots gH2AX - Mean per Well	CC - % High gH2AX spots	cell_cycle	dna_damage	hoechst_gh2ax	Within cells selected for cell cycle: fraction of cells containing more than 3 gH2AX spots	-4.250632536807553	-4.207598902973911
r_two	cc_all_large_round_polyploid_mean	ALL - Large round (polyploid) - Mean per Well	ALL - Polyploid	cell_cycle	shape	hoechst	Large and round cells (Polyploid)	-5.358833985698961	-0.16308999673701163
r_two	cc_all_high_h2ax	ALL - High number of spots gH2AX - Mean per Well	ALL - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_gh2ax	Within all cells: fraction of cells containing more than 3 gH2AX spots	-5.640828111247246	-0.9426867888646302
r_two	cc_s_high_h2ax	edu positive - High number of spots gH2AX - Mean per Well	S - % High gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_gh2ax	In S phase cells: fraction of >3 gH2Ax spots	-8.97838925715088	-7.813023744179652
