original_name,updated_name,feature_type,measurement,maria_thumbs_up,description
G2-pH3 - Number of Objects,cc_g2_ph3_neg_n_objects,cell_cycle,,0,number of G2 cells
G2-pH3 - Number of Spots - Mean per Well,cc_g2_ph3_neg_n_spots_mean,cell_cycle,dna_damage,0,In G2 cells: average number of gH2Ax spots
G2-pH3 - Number of Spots per Area of Nucleus - Mean per Well,cc_g2_ph3_neg_n_spots_per_nucleus_area_mean,cell_cycle,dna_damage,0,In G2 cells: average number of gH2Ax spots per nucleus area
G2-pH3 - High number of spots gH2AX - Mean per Well,cc_g2_ph3_neg_high_n_spots_h2ax_mean,cell_cycle,dna_damage,0,In G2 cells: fraction of >3 gH2Ax spots
G2+pH3 (Early mitiosis) - Number of Objects,cc_g2_ph3_pos_n_objects,cell_cycle,,0,number of early M cells
G2+pH3 (Early mitiosis) - Number of Spots - Mean per Well,cc_g2_ph3_pos_n_spots_mean,cell_cycle,dna_damage,0,In early M cells: average number of gH2Ax spots
G2+pH3 (Early mitiosis) - Number of Spots per Area of Nucleus - Mean per Well,cc_g2_ph3_pos_n_spots_per_nucleus_area_mean,cell_cycle,dna_damage,0,In early M cells: average number of gH2Ax spots per nucleus area
G2+pH3 (Early mitiosis) - High number of spots gH2AX - Mean per Well,cc_g2_ph3_pos_high_n_spots_h2ax_mean,cell_cycle,dna_damage,0,In erly M cells: fraction of >3 gH2Ax spots
"pH3 positive, Hoechst condenced (mitosis) - Number of Objects",cc_mitosis_ph3_pos_n_objects,cell_cycle,,0,number of late M cells
"pH3 positive, Hoechst condenced (mitosis) - Number of Spots - Mean per Well",cc_mitosis_ph3_pos_n_spots_mean,cell_cycle,dna_damage,0,In late M cells: average number of gH2Ax spots
"pH3 positive, Hoechst condenced (mitosis) - Number of Spots per Area of Nucle...",cc_mitosis_ph3_pos_n_spots_per_nucleus_area_mean,cell_cycle,dna_damage,0,In late M cells: average number of gH2Ax spots per nucleus area
"pH3 positive, Hoechst condenced (mitosis) - High number of spots gH2AX - Mean...",cc_mitosis_ph3_pos_high_n_spots_h2ax_mean,cell_cycle,dna_damage,0,In M cells: fraction of >3 gH2Ax spots
"pH3 neg, Hoechst cond (late mitosis) - Number of Objects",cc_mitosis_ph3_neg_n_objects,cell_cycle,,0,
"pH3 neg, Hoechst cond (late mitosis) - Number of Spots - Mean per Well",cc_mitosis_ph3_neg_n_spots_mean,cell_cycle,,0,
"pH3 neg, Hoechst cond (late mitosis) - Number of Spots per Area of Nucleus - ...",cc_mitosis_ph3_neg_n_spots_per_nucleus_area_mean,cell_cycle,,0,
"pH3 neg, Hoechst cond (late mitosis) - High number of spots gH2AX - Mean per ...",cc_mitosis_ph3_neg_high_n_spots_h2ax_mean,cell_cycle,,0,
G1/S,cc_g1_s,cell_cycle,,0,
G2/G1,cc_g2_g1,cell_cycle,,1,G1-G2
G1+G2,cc_g1_plus_g2,cell_cycle,,0,G1+G2
G2 + All M-phase,cc_g2_plus_all_m,cell_cycle,,0,G2+M
