pert_id	pert_iname	pert_type	moa
BRD-K29735307	ostarine	trt_cp	Androgen receptor modulator
BRD-K30126819	dimesna	trt_cp	Tubulin inhibitor
BRD-K30421593	timolol	trt_cp	Adrenergic receptor antagonist
BRD-K30480208	torasemide	trt_cp	Electrolyte reabsorption inhibitor|Thromboxane receptor antagonist
BRD-A30051119	amikacin	trt_cp	Bacterial 30S ribosomal subunit inhibitor
BRD-K30331124	asc-j9	trt_cp	NA
BRD-K30466858	ellagic-acid	trt_cp	Glutathione transferase inhibitor|Reverse transcriptase inhibitor|Aldose reductase inhibitor|Beta-secretase inhibitor|HCV inhibitor|HIV integrase inhibitor|Quorum sensing signaling modulator
BRD-K03842655	penitrem-a	trt_cp	Potassium channel blocker
BRD-K15502390	nevirapine	trt_cp	Reverse transcriptase inhibitor
BRD-K15567136	papaverine	trt_cp	Phosphodiesterase inhibitor
BRD-A15909516	rebamipide	trt_cp	Free radical scavenger
BRD-K15507868	tesaglitazar	trt_cp	Insulin sensitizer|PPAR receptor agonist
BRD-K15766189	cefdinir	trt_cp	Bacterial cell wall synthesis inhibitor
BRD-K15916496	clotrimazole	trt_cp	Cytochrome P450 inhibitor|Imidazoline ligand
BRD-K15933101	ropinirole	trt_cp	Dopamine receptor agonist
BRD-K16037980	z160	trt_cp	N-type calcium channel blocker
BRD-K16133773	abiraterone-acetate	trt_cp	17,20 lyase inhibitor|Cytochrome P450 inhibitor|Steroid sulfatase inhibitor|Androgen biosynthesis inhibitor
BRD-K15976406	telbivudine	trt_cp	DNA polymerase inhibitor
BRD-K16077845	fentiazac	trt_cp	Cyclooxygenase inhibitor
BRD-K16195444	oxymetazoline	trt_cp	Adrenergic receptor agonist
BRD-K16295392	atrasentan	trt_cp	Endothelin receptor antagonist
BRD-A16296925	indobufen	trt_cp	Cyclooxygenase inhibitor|Platelet aggregation inhibitor
BRD-K16444452	ibudilast	trt_cp	Phosphodiesterase inhibitor|Leukotriene receptor antagonist
BRD-K16508793	diazepam	trt_cp	Benzodiazepine receptor agonist
BRD-A16665823	butoconazole	trt_cp	Bacterial cell wall synthesis inhibitor
BRD-A16347691	thioctic-acid	trt_cp	Reducing agent|Aldehyde dehydrogenase activator|Protein kinase activator|Reverse transcriptase inhibitor
BRD-K16542329	zaprinast	trt_cp	Phosphodiesterase inhibitor
BRD-K16730910	regorafenib	trt_cp	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K16732600	mk-0893	trt_cp	NA
BRD-K16761703	sotrastaurin	trt_cp	PKC inhibitor
BRD-K16898998	bevirimat-dimeglumine	trt_cp	HIV capsid assembly inhibitor|HIV gag inhibitor
BRD-K16757695	prx-08066	trt_cp	NA
BRD-K16762525	clarithromycin	trt_cp	Bacterial 50S ribosomal subunit inhibitor
BRD-K16803204	filgotinib	trt_cp	JAK inhibitor
BRD-A16997652	protirelin	trt_cp	Thyrotropin releasing hormone receptor agonist
BRD-K17026858	pibenzimol	trt_cp	DNA inhibitor
BRD-K17075857	chloroxine	trt_cp	Opioid receptor antagonist
BRD-A17411484	carprofen	trt_cp	Cyclooxygenase inhibitor
BRD-A17462676	bambuterol	trt_cp	Adrenergic receptor agonist
BRD-K17068645	bendamustine	trt_cp	DNA inhibitor
BRD-K17203476	ly2874455	trt_cp	FGFR antagonist
BRD-K17498618	atracurium	trt_cp	Acetylcholine receptor antagonist
BRD-K17500877	bropirimine	trt_cp	Interferon inducer
BRD-K17561142	amiodarone	trt_cp	Potassium channel blocker
BRD-K17705806	JTC-801	trt_cp	Opioid receptor antagonist
BRD-K17513304	firategrast	trt_cp	Integrin antagonist
BRD-K17555800	talmapimod	trt_cp	P38 MAPK inhibitor
BRD-A17655518	ibuprofen	trt_cp	Cyclooxygenase inhibitor
BRD-K17743125	belinostat	trt_cp	HDAC inhibitor
BRD-K17849083	tranilast	trt_cp	Angiogenesis inhibitor
BRD-K17894950	indirubin	trt_cp	CDK inhibitor|Glycogen synthase kinase inhibitor
BRD-K17944737	artesunate	trt_cp	DNA synthesis inhibitor
BRD-A18043272	phensuximide	trt_cp	Succinimide antiepileptic
BRD-A17883755	lenalidomide	trt_cp	Anticancer agent
BRD-K17930269	retapamulin	trt_cp	Protein synthesis inhibitor
BRD-K17953908	ly2886721	trt_cp	Beta-secretase inhibitor
BRD-K99964838	bosutinib	trt_cp	Src inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor
BRD-K18194590	mephentermine	trt_cp	Adrenergic receptor agonist
BRD-K12184916	NVP-BEZ235	trt_cp	MTOR inhibitor|PI3K inhibitor
BRD-K18673820	folic-acid	trt_cp	Folate receptor ligand
BRD-K18157228	fdcyd	trt_cp	DNA methyltransferase inhibitor
BRD-K18324993	budipine	trt_cp	Glutamate receptor antagonist
BRD-A18620900	estriol	trt_cp	Estrogen receptor agonist
BRD-K18678457	ZD-7288	trt_cp	HCN channel blocker
BRD-K31111078	dimethyl-fumarate	trt_cp	Nuclear factor erythroid derived, like (NRF2) activator|Kelch-like ECH-associated protein ligand|NFkB pathway inhibitor
BRD-A31159102	fluoxetine	trt_cp	Selective serotonin reuptake inhibitor (SSRI)
BRD-K23499943	alvespimycin	trt_cp	HSP inhibitor
BRD-K31135544	ib-meca	trt_cp	NA
BRD-K31309378	lucitanib	trt_cp	FGFR inhibitor|VEGFR inhibitor
BRD-K31385749	ivabradine	trt_cp	HCN channel antagonist|Potassium channel blocker|Sodium channel blocker
BRD-A31521121	methocarbamol	trt_cp	Muscle relaxant
BRD-K31731454	pemirolast	trt_cp	Mediator release inhibitor
BRD-K31812033	levobunolol	trt_cp	Adrenergic receptor antagonist
BRD-K31627533	rimexolone	trt_cp	Glucocorticoid receptor agonist
BRD-A31811760	miltefosine	trt_cp	Membrane integrity inhibitor
BRD-K31841515	oxypurinol	trt_cp	Xanthine oxidase inhibitor
BRD-K32101625	lx1031	trt_cp	Tryptophan hydroxylase inhibitor
BRD-K32247306	primidone	trt_cp	GABA receptor antagonist
BRD-K32285926	amg-208	trt_cp	NA
BRD-K32405725	etomoxir	trt_cp	Carnitine palmitoyltransferase inhibitor
BRD-K32744045	disulfiram	trt_cp	Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
BRD-A32269193	vgx-1027	trt_cp	NA
BRD-K32501161	vanoxerine	trt_cp	Dopamine uptake inhibitor
BRD-K32821942	azathioprine	trt_cp	Dehydrogenase inhibitor
BRD-K33141550	l-name	trt_cp	NA
BRD-K33211335	dextromethorphan	trt_cp	Glutamate receptor antagonist|Sigma receptor agonist
BRD-A33447119	oxfendazole	trt_cp	Anthelmintic agent
BRD-A33168282	sotalol	trt_cp	Adrenergic receptor antagonist
BRD-K33226500	indinavir	trt_cp	HIV protease inhibitor
BRD-K33379087	tivantinib	trt_cp	Tyrosine kinase inhibitor
BRD-K33453211	levocabastine	trt_cp	Histamine receptor antagonist
BRD-A33711280	metixene	trt_cp	Acetylcholine receptor antagonist
BRD-K33852358	arofylline	trt_cp	Phosphodiesterase inhibitor
BRD-A34006693	suprofen	trt_cp	Cyclooxygenase inhibitor
BRD-K34022604	clofarabine	trt_cp	Ribonucleoside reductase inhibitor
BRD-K33732501	methylnaltrexone	trt_cp	Opioid receptor antagonist
BRD-K33882852	ZK-93423	trt_cp	Benzodiazepine receptor agonist
BRD-K34154330	tracazolate	trt_cp	GABA receptor modulator
BRD-K96550715	linagliptin	trt_cp	Dipeptidyl peptidase inhibitor
BRD-A34513497	lacitol	trt_cp	Osmosis stimulant
BRD-K34776109	glimepiride	trt_cp	Insulin secretagogue
BRD-K34341643	glasdegib	trt_cp	Hedgehog pathway inhibitor
BRD-K34469523	levalbuterol	trt_cp	Adrenergic receptor agonist
BRD-K34713073	pd123319	trt_cp	Angiotensin antagonist
BRD-K34870043	adoprazine	trt_cp	Dopamine receptor antagonist|Serotonin receptor agonist
BRD-K35245662	ciclesonide	trt_cp	Glucocorticoid receptor agonist
BRD-K35586044	yohimbine	trt_cp	Adrenergic receptor antagonist
BRD-K35629949	SR-27897	trt_cp	CCK receptor antagonist
BRD-K35719256	rotundine	trt_cp	Serotonin receptor agonist
BRD-K35520305	dacarbazine	trt_cp	DNA alkylating agent
BRD-K35589454	danegaptide	trt_cp	Gap junction modulator
BRD-K35687421	gimeracil	trt_cp	Dihydropyrimidine dehydrogenase inhibitor
BRD-K35775715	liranaftate	trt_cp	Fungal squalene epoxidase inhibitor
BRD-A36331462	oprozomib	trt_cp	Proteasome inhibitor
BRD-K36467523	bindarit	trt_cp	NFkB pathway inhibitor
BRD-K36680103	omecamtiv-mecarbil	trt_cp	Cardiac myosin activator|Unidentified pharmacological activity
BRD-K36280065	tofacitinib	trt_cp	JAK inhibitor
BRD-K36386086	dolutegravir	trt_cp	HIV integrase inhibitor
BRD-K36627727	tamibarotene	trt_cp	Retinoid receptor agonist
BRD-K36732695	setiptiline	trt_cp	Adrenergic receptor antagonist
BRD-A18611368	tazobactam	trt_cp	Beta lactamase inhibitor
BRD-K18779551	bifemelane	trt_cp	Acetylcholine release stimulant
BRD-A19195498	trimipramine	trt_cp	Norepinephrine reputake inhibitor|Tricyclic antidepressant
BRD-K53097745	pterostilbene	trt_cp	Cyclooxygenase inhibitor|PPAR receptor agonist
BRD-K18850819	mk-0752	trt_cp	NA
BRD-K19284129	salvinorin-a	trt_cp	Opioid receptor agonist
BRD-K19352500	prochlorperazine	trt_cp	Dopamine receptor antagonist
BRD-A19661776	mianserin	trt_cp	Serotonin receptor antagonist
BRD-A19736161	ondansetron	trt_cp	Serotonin receptor antagonist
BRD-K19388745	colforsin-daproate	trt_cp	Adenylyl cyclase activator|Adenylate cyclase stimulant
BRD-K19687926	lapatinib	trt_cp	EGFR inhibitor|ErbB2 inhibitor
BRD-A19633847	perhexiline	trt_cp	Carnitine palmitoyltransferase inhibitor
BRD-K20285085	fostamatinib	trt_cp	SYK inhibitor
BRD-A20119038	mecamylamine	trt_cp	Acetylcholine receptor antagonist
BRD-K20141153	atomoxetine	trt_cp	Norepinephrine transporter inhibitor
BRD-K21361524	kpt-330	trt_cp	NA
BRD-K21450440	benzthiazide	trt_cp	Carbonic anhydrase inhibitor
BRD-A20126139	medrysone	trt_cp	Glucocorticoid receptor agonist
BRD-K21396683	marimastat	trt_cp	Matrix metalloprotease inhibitor
BRD-K21295289	senicapoc	trt_cp	Intermediate conductance potassium channel blocker
BRD-K21908111	azd1208	trt_cp	Pim kinase inhibitor
BRD-K22031190	diflunisal	trt_cp	Prostanoid receptor antagonist
BRD-A02006392	nitrendipine	trt_cp	Calcium channel blocker
BRD-K22024824	rg4733	trt_cp	Gamma secretase inhibitor
BRD-A22032524	amlodipine	trt_cp	Calcium channel blocker
BRD-K22848513	bardoxolone-methyl	trt_cp	Nuclear factor erythroid derived, like (NRF2) activator|Apoptosis stimulant|BCL inhibitor|Glutathione Reductase (NADPH) Activators|Heme Oxygenase Activators|IKK-1 (IKK-alpha) Inhibitors|NFkB pathway inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|Reducing agent
BRD-K22822991	odanacatib	trt_cp	Cathepsin inhibitor
BRD-K22749967	abt-239	trt_cp	NA
BRD-K23672206	bci-540	trt_cp	NA
BRD-K23728141	tafamidis-meglumine	trt_cp	Transthyretin amyloid inhibitor|Transthyretin stabilizer
BRD-K23363278	CYT-997	trt_cp	Tubulin inhibitor
BRD-A22769835	homochlorcyclizine	trt_cp	Antihistamine
BRD-K23677682	voreloxin	trt_cp	Topoisomerase inhibitor
BRD-K24844714	fluorouracil	trt_cp	RNA synthesis inhibitor|Thymidylate synthase inhibitor
BRD-K24616672	procaine	trt_cp	HMGCR inhibitor
BRD-K19939891	tic10	trt_cp	AKT inhibitor|TRAIL modulator
BRD-K21718444	kw-2449	trt_cp	NA
BRD-K24723746	solifenacin-succinate	trt_cp	Acetylcholine receptor antagonist
BRD-K19540840	saracatinib	trt_cp	Src inhibitor
BRD-K20920669	cromoglicic-acid	trt_cp	Immunosuppressant
BRD-K22134346	simvastatin	trt_cp	HMGCR inhibitor
BRD-K23976833	travoprost	trt_cp	Prostanoid receptor agonist
BRD-K23248433	camicinal	trt_cp	Motilin receptor agonist
BRD-K24968862	sb-683698	trt_cp	NA
BRD-K25630527	ly2784544	trt_cp	JAK inhibitor
BRD-A24228527	ofloxacin	trt_cp	Bacterial DNA gyrase inhibitor
BRD-K24943235	grazoprevir	trt_cp	HCV inhibitor
BRD-A25619068	fadrozole	trt_cp	Aromatase inhibitor
BRD-K25433859	maprotiline	trt_cp	Norepinephrine reputake inhibitor|Tricyclic antidepressant
BRD-A26384407	chlortalidone	trt_cp	Diuretic
BRD-A26503646	formestane	trt_cp	Aromatase inhibitor
BRD-K27184429	levocetirizine	trt_cp	Histamine receptor antagonist
BRD-K26341917	l-ergothioneine	trt_cp	NA
BRD-A26423207	sparfloxacin	trt_cp	Bacterial DNA gyrase inhibitor
BRD-K27182532	metatinib	trt_cp	Bcr-Abl kinase inhibitor
BRD-K27204852	balicatib	trt_cp	Cathepsin inhibitor
BRD-K07881437	danusertib	trt_cp	Aurora kinase inhibitor|Growth factor receptor inhibitor
BRD-A07986123	galeterone	trt_cp	Androgen receptor modulator
BRD-K08109215	i-bet-762	trt_cp	NA
BRD-K07954936	2-iminobiotin	trt_cp	Nitric oxide synthase inhibitor
BRD-K08037784	arbutin	trt_cp	Melanin inhibitor
BRD-A08187463	racecadotril	trt_cp	Enkephalinase inhibitor
BRD-K08206212	entecavir	trt_cp	DNA replication inhibitor|Reverse transcriptase inhibitor
BRD-K08252256	diclofenac	trt_cp	Cyclooxygenase inhibitor
BRD-K08547377	irinotecan	trt_cp	Topoisomerase inhibitor
BRD-K08248804	lcl-161	trt_cp	NA
BRD-A08545410	doxycycline-hyclate	trt_cp	Bacterial 30S ribosomal subunit inhibitor
BRD-K08586861	ramatroban	trt_cp	Prostanoid receptor antagonist
BRD-K08703257	3-amino-benzamide	trt_cp	PARP inhibitor
BRD-K08799216	pelitinib	trt_cp	EGFR inhibitor
BRD-K08859203	du-728	trt_cp	NA
BRD-K08924299	palonosetron	trt_cp	Serotonin receptor antagonist
BRD-K09078998	deforolimus	trt_cp	MTOR inhibitor
BRD-K08832567	naringenin	trt_cp	Aromatase inhibitor|TRPV antagonist
BRD-K08976401	azelaic-acid	trt_cp	Tyrosinase inhibitor
BRD-K09090949	cp-945,598	trt_cp	NA
BRD-K09132007	D-4476	trt_cp	TGF beta receptor inhibitor
BRD-A09349126	norethindrone	trt_cp	Progestogen hormone
BRD-K09426783	tas-103	trt_cp	NA
BRD-K09255212	clioquinol	trt_cp	Chelating agent
BRD-K09372874	merimepodib	trt_cp	Inosine monophosphate dehydrogenase inhibitor
BRD-K09397065	SR-57227A	trt_cp	Serotonin receptor agonist
BRD-K09471561	levofloxacin	trt_cp	Bacterial DNA gyrase inhibitor
BRD-A09472452	flecainide	trt_cp	Sodium channel blocker
BRD-K09549677	mibefradil	trt_cp	T-type calcium channel blocker
BRD-K09711437	varespladib	trt_cp	Secretory phospholipase inhibitor
BRD-K09951645	dabrafenib	trt_cp	RAF inhibitor
BRD-A09533288	verapamil	trt_cp	Calcium channel blocker
BRD-K09602097	forskolin	trt_cp	Adenylyl cyclase activator
BRD-A10012892	argatroban	trt_cp	Thrombin inhibitor
BRD-A10039652	tipranavir	trt_cp	HIV protease inhibitor
BRD-K10843433	phenylbutazone	trt_cp	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
BRD-K10852020	tolcapone	trt_cp	Catechol O methyltransferase inhibitor
BRD-A10070317	propranolol	trt_cp	Adrenergic receptor antagonist
BRD-K10670311	sulfasalazine	trt_cp	Antirheumatic drug|NFkB pathway inhibitor
BRD-K10845183	tiludronate	trt_cp	Bone resorption inhibitor|Osteoclast inhibitor
BRD-K10859802	apd668	trt_cp	Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists
BRD-A10903566	imiloxan	trt_cp	Adrenergic receptor antagonist
BRD-A10967948	granisetron	trt_cp	Serotonin receptor antagonist
BRD-K11071038	ici-162846	trt_cp	NA
BRD-K11129031	gemfibrozil	trt_cp	Lipoprotein lipase activator
BRD-K10961822	latanoprost	trt_cp	Prostanoid receptor agonist
BRD-A10977446	carvedilol	trt_cp	Adrenergic receptor antagonist
BRD-K11073688	cpi-1189	trt_cp	NA
BRD-K80738081	resveratrol	trt_cp	Cytochrome P450 inhibitor|SIRT activator
BRD-K11196887	norfloxacin	trt_cp	Bacterial DNA gyrase inhibitor
BRD-A11319535	beclomethasone-dipropionate	trt_cp	Immunosuppressant|Glucocorticoid receptor agonist
BRD-K11433652	aspirin	trt_cp	Cyclooxygenase inhibitor
BRD-K11153516	iniparib	trt_cp	PARP inhibitor
BRD-K11267252	alectinib	trt_cp	ALK tyrosine kinase receptor inhibitor
BRD-K11399644	phenformin	trt_cp	AMPK activator
BRD-K11717138	benzbromarone	trt_cp	Chloride channel blocker
BRD-K18895904	olanzapine	trt_cp	Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K18922609	neostigmine	trt_cp	Acetylcholinesterase inhibitor
BRD-K19061412	mubritinib	trt_cp	Receptor tyrosine protein kinase inhibitor
BRD-A18917088	estradiol	trt_cp	Estrogen receptor agonist
BRD-K18961567	ly2801653	trt_cp	MET inhibitor
BRD-K19085898	darapladib	trt_cp	Phospholipase inhibitor
BRD-K19412355	sb-242235	trt_cp	NA
BRD-K19438463	cnqx	trt_cp	Glutamate receptor antagonist
BRD-K19462402	buflomedil	trt_cp	Adrenergic receptor antagonist|Calcium channel blocker
BRD-K19416115	sitagliptin	trt_cp	Dipeptidyl peptidase inhibitor
BRD-K19456237	piracetam	trt_cp	Acetylcholine receptor agonist
BRD-K19477839	SGX523	trt_cp	NA
BRD-K19601669	ruxolitinib-(s)	trt_cp	NA
BRD-K19741547	vernakalant	trt_cp	Potassium channel blocker
BRD-A19795905	atovaquone	trt_cp	Mitochondrial electron transport inhibitor
BRD-A19952358	closantel	trt_cp	Chitinase inhibitor|NFkB pathway inhibitor
BRD-K20008181	lcq908	trt_cp	Diacylglycerol O acyltransferase inhibitor
BRD-K19761926	eplerenone	trt_cp	Cytochrome P450 inhibitor
BRD-K20001883	rvx-208	trt_cp	NA
BRD-K20079257	rufinamide	trt_cp	Voltage-gated sodium channel blocker
BRD-K20722021	cep-32496	trt_cp	NA
BRD-K20745393	olprinone	trt_cp	Phosphodiesterase inhibitor
BRD-K21071223	vp-20629	trt_cp	NA
BRD-K20738689	dazmegrel	trt_cp	Thromboxane synthase inhibitor
BRD-K20897876	castanospermine	trt_cp	Glucosidase inhibitor
BRD-K20958582	th-302	trt_cp	NA
BRD-K21283037	riluzole	trt_cp	Glutamate inhibitor
BRD-K21547160	sufentanil	trt_cp	Opiod receptor modulator
BRD-A21607826	medetomidine	trt_cp	Adrenergic receptor agonist
BRD-K21680192	mitoxantrone	trt_cp	Topoisomerase inhibitor
BRD-A21858158	praziquantel	trt_cp	Anthelmintic agent
BRD-K21548250	moracizine	trt_cp	Sodium channel blocker
BRD-K21670884	cariporide	trt_cp	Sodium/hydrogen exchanger inhibitor
BRD-K21884483	mizolastine	trt_cp	Histamine receptor antagonist
BRD-A22081593	sulmazole	trt_cp	Adenosine receptor antagonist
BRD-A22380646	pantoprazole	trt_cp	ATPase inhibitor
BRD-A22642447	licarbazepine	trt_cp	Voltage-gated sodium channel blocker
BRD-K22097830	oco-1112	trt_cp	NA
BRD-A22305049	benfluorex	trt_cp	Gluconeogenesis inhibitor
BRD-K22482860	dalfampridine	trt_cp	Potassium channel blocker
BRD-K22662435	ganciclovir	trt_cp	DNA polymerase inhibitor
BRD-K22861715	chrysin	trt_cp	Breast cancer resistance protein inhibitor
BRD-K22969690	chloramphenicol	trt_cp	Bacterial 50S ribosomal subunit inhibitor
BRD-K23082237	butaclamol	trt_cp	Dopamine receptor antagonist
BRD-K23204545	busulfan	trt_cp	DNA inhibitor
BRD-K22936972	diphenylpyraline	trt_cp	Dopamine uptake inhibitor
BRD-A23067620	itraconazole	trt_cp	Cytochrome P450 inhibitor
BRD-K23190681	av-412	trt_cp	NA
BRD-K23228615	gdc-0980	trt_cp	NA
BRD-A24191444	ifenprodil	trt_cp	Adrenergic receptor antagonist|Glutamate receptor antagonist
BRD-A02710418	meptazinol	trt_cp	Opioid receptor agonist
BRD-A24560335	efatutazone	trt_cp	PPAR receptor agonist
BRD-K23984367	sorafenib	trt_cp	RAF inhibitor|FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K24219278	amineptine	trt_cp	Dopamine receptor agonist
BRD-A24514565	warfarin	trt_cp	Vitamin K antagonist
BRD-K24576554	AT-9283	trt_cp	Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|Mitotic inhibitor|Protein kinase inhibitor
BRD-K41772907	tolimidone	trt_cp	Src activator
BRD-A42759514	ornidazole	trt_cp	Antiprotozoal agent
BRD-K42898655	temsirolimus	trt_cp	MTOR inhibitor
BRD-A42699921	teriflunomide	trt_cp	Dihydroorotate dehydrogenase inhibitor
BRD-K42805893	azd9291	trt_cp	EGFR inhibitor
BRD-K43586850	lacidipine	trt_cp	Calcium channel blocker
BRD-K43723251	chenodiol	trt_cp	11-beta-HSD1 inhibitor
BRD-K43802723	amg-837	trt_cp	NA
BRD-K44408410	2-methoxyestradiol	trt_cp	Hypoxia inducible factor inhibitor
BRD-K43797669	genistein	trt_cp	Tyrosine kinase inhibitor
BRD-K44366189	anacetrapib	trt_cp	Cholesteryl ester transfer protein inhibitor
BRD-K44442813	pidotimod	trt_cp	Interferon receptor agonist|Interleukin receptor agonist
BRD-A44448661	pentobarbital	trt_cp	Barbiturate antiepileptic|GABA receptor modulator
BRD-K37111771	trientine	trt_cp	Chelating agent
BRD-A38076815	glafenine	trt_cp	DeltaF508-CFTR Correctors
BRD-K38852836	ganetespib	trt_cp	HSP inhibitor
BRD-K41438959	perampanel	trt_cp	Glutamate receptor antagonist
BRD-A37288617	amfepramone	trt_cp	Adrenergic receptor agonist
BRD-K40718343	aee788	trt_cp	EGFR inhibitor|VEGFR inhibitor
BRD-K42191735	buparlisib	trt_cp	PI3K inhibitor
BRD-K43806473	camostat-mesilate	trt_cp	Protease inhibitor|Peptidase inhibitor|Trypsin inhibitor
BRD-K51350053	toremifene	trt_cp	Selective estrogen receptor modulator (SERM)|Estrogen receptor antagonist
BRD-K52020312	metronidazole	trt_cp	DNA inhibitor
BRD-K51333959	siramesine	trt_cp	Sigma receptor antagonist
BRD-A51382177	fosinopril	trt_cp	Angiotensin converting enzyme inhibitor
BRD-K51485625	ritonavir	trt_cp	HIV protease inhibitor
BRD-K52080565	rilmenidine	trt_cp	Adrenergic receptor agonist|Imidazoline receptor agonist
BRD-K52172416	anastrozole	trt_cp	Aromatase inhibitor
BRD-K52911425	GDC-0941	trt_cp	PI3K inhibitor
BRD-K52959329	mitiglinide	trt_cp	Insulin secretagogue
BRD-K52989797	clomipramine	trt_cp	Serotonin transporter (SERT) inhibitor
BRD-K52183142	pregnenolone	trt_cp	Glutamate receptor modulator
BRD-A52922642	gallopamil	trt_cp	L-type calcium channel blocker
BRD-K53581288	baricitinib	trt_cp	JAK inhibitor
BRD-K53665955	MK-5108	trt_cp	Aurora kinase inhibitor
BRD-K54472332	elvitegravir	trt_cp	HIV integrase inhibitor
BRD-K54640016	way-362450	trt_cp	NA
BRD-K53737926	amitriptyline	trt_cp	Norepinephrine inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor
BRD-K53765467	empagliflozin	trt_cp	Sodium/glucose cotransporter inhibitor
BRD-K54520417	lxr-623	trt_cp	NA
